"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITGAL",8.33446070243291e-64,0.647293945107529,0.8,0.44,1.99368634462898e-59,"1","ITGAL"
"GRN",1.97355063420942e-63,-0.779395711932713,0.396,0.756,4.72093047209234e-59,"1","GRN"
"AMICA1",4.78429913885713e-63,-0.768470676738185,0.28,0.689,1.14445219700601e-58,"1","AMICA1"
"RHOC",7.9549473185122e-61,0.535624343564301,0.511,0.171,1.9029029480613e-56,"1","RHOC"
"SPN",3.47069409374416e-60,0.68571416342135,0.739,0.378,8.3022473416454e-56,"1","SPN"
"LYN.1",3.27457623233737e-56,0.706618468057397,0.87,0.678,7.83311380537422e-52,"1","LYN"
"APLP2.1",6.17382646891222e-53,-0.753544896728926,0.685,0.864,1.47684102962849e-48,"1","APLP2"
"RP11-290F20.3",6.15369578756871e-51,0.512877566559134,0.561,0.233,1.47202556934431e-46,"1","RP11-290F20.3"
"FOSB",1.83042546348323e-50,-0.744244908864968,0.163,0.54,4.37856075119823e-46,"1","FOSB"
"CSF1R.1",2.34838617593999e-49,0.650255907980446,0.828,0.53,5.61757457146606e-45,"1","CSF1R"
"JUN",9.75285475438272e-49,-0.894938057220163,0.148,0.52,2.33298038579589e-44,"1","JUN"
"PAG1",4.7974807936843e-47,0.500888899310679,0.537,0.222,1.14760538065722e-42,"1","PAG1"
"RPS19.1",5.99519554460238e-47,0.585610611476608,0.924,0.756,1.43411072622433e-42,"1","RPS19"
"VIM",1.75999627323849e-46,-0.677725297879844,0.82,0.926,4.2100870852138e-42,"1","VIM"
"SIGLEC10",5.25183571575064e-46,0.531409580660258,0.611,0.287,1.25629162156471e-41,"1","SIGLEC10"
"PTPRC.1",5.37815052958827e-45,0.518726856127849,0.974,0.917,1.28650738818281e-40,"1","PTPRC"
"HLA-DRA.1",5.95129588138631e-45,-0.915175930022272,0.7,0.881,1.42360948778642e-40,"1","HLA-DRA"
"HLA-E.1",1.42257722994711e-44,0.482633913384811,0.993,0.976,3.40294699175649e-40,"1","HLA-E"
"RPLP1",5.04667921360071e-42,-0.612701415120814,0.613,0.837,1.20721613468543e-37,"1","RPLP1"
"TNFRSF1B.1",2.45353619797916e-41,0.511364158150185,0.952,0.828,5.86910393918596e-37,"1","TNFRSF1B"
"CD74.1",1.18663196089989e-38,-0.757292672143195,0.872,0.953,2.83854231366863e-34,"1","CD74"
"KCTD12",3.8260922394048e-38,-0.548713890438577,0.267,0.581,9.15239524588023e-34,"1","KCTD12"
"MEGF9",6.60882841488389e-38,-0.568743734361773,0.213,0.529,1.58089784512438e-33,"1","MEGF9"
"LST1.1",1.22004448860378e-36,0.511175940601035,0.863,0.698,2.91846842118909e-32,"1","LST1"
"AP1S2",1.35050116064607e-36,-0.526277439774692,0.25,0.556,3.23053382638147e-32,"1","AP1S2"
"CPVL",1.36262009082516e-36,-0.560564631898832,0.27,0.572,3.25952351926286e-32,"1","CPVL"
"LILRB1",6.52430867676217e-36,0.475649771125823,0.626,0.346,1.56067987856828e-31,"1","LILRB1"
"TNFAIP2",6.58434023698317e-36,-0.524249512040513,0.387,0.688,1.57504002808874e-31,"1","TNFAIP2"
"IFITM3",3.70772496281347e-35,0.506213159737705,0.561,0.282,8.8692488835461e-31,"1","IFITM3"
"HLA-DRB1.1",3.55170143634999e-32,-0.764610960451463,0.726,0.885,8.4960250058928e-28,"1","HLA-DRB1"
"IFITM2",5.7712206759451e-32,0.440104161958547,0.593,0.331,1.38053369789283e-27,"1","IFITM2"
"CEBPD",1.37117175590841e-31,-0.472776917436908,0.239,0.528,3.2799799573085e-27,"1","CEBPD"
"PPP1R15A",4.23306634112418e-31,-0.527279559912848,0.363,0.63,1.01259179946032e-26,"1","PPP1R15A"
"SRGN.1",2.5722230060143e-30,-0.484510538741291,0.663,0.837,6.15301465268681e-26,"1","SRGN"
"FCGRT",3.40471166540738e-30,-0.440094560751165,0.32,0.597,8.14441077482099e-26,"1","FCGRT"
"CTSB.1",2.57362964823505e-29,-0.480558998272057,0.587,0.78,6.15637948154307e-25,"1","CTSB"
"RASSF5",5.560800054708e-29,0.41599969235174,0.678,0.426,1.3301989810867e-24,"1","RASSF5"
"NFKBIZ",1.99508251493329e-28,0.441985947268598,0.648,0.403,4.77243688397191e-24,"1","NFKBIZ"
"TPT1",1.07197391536651e-27,-0.416857488404582,0.926,0.978,2.56426880294823e-23,"1","TPT1"
"LYST.1",5.41703013340591e-27,0.509627475663532,0.811,0.617,1.29580777821203e-22,"1","LYST"
"TXNIP",8.8092926057131e-27,0.427863576191749,0.97,0.936,2.10727088421263e-22,"1","TXNIP"
"ANXA1",1.22253627012586e-26,-0.545303241748176,0.522,0.728,2.92442901176807e-22,"1","ANXA1"
"PTP4A2.1",2.9014532406852e-26,0.426437550619903,0.867,0.75,6.94056629704307e-22,"1","PTP4A2"
"PIK3AP1.1",6.54521716103079e-26,0.415974345374239,0.68,0.452,1.56568139709018e-21,"1","PIK3AP1"
"WARS.1",7.96347866355095e-25,0.459078518317563,0.693,0.482,1.90494373110802e-20,"1","WARS"
"VASP.1",2.2839946233661e-24,0.39702198211448,0.713,0.515,5.46354353855404e-20,"1","VASP"
"RGS2.1",1.28591380946079e-23,-0.51633815829752,0.58,0.731,3.07603442361116e-19,"1","RGS2"
"CAP1.1",1.32523198353522e-23,0.420158251603586,0.857,0.768,3.1700874278146e-19,"1","CAP1"
"TGFBI",5.85245539715164e-23,-0.402812416156178,0.387,0.612,1.39996585555264e-18,"1","TGFBI"
"NCF2.1",3.77784217070043e-22,-0.401058432070654,0.62,0.805,9.0369762565325e-18,"1","NCF2"
"MBD2",2.32644480839957e-20,0.392715724286958,0.574,0.388,5.5650886261726e-16,"1","MBD2"
"SERPINA1.1",4.27053966914204e-20,0.399351772181441,0.822,0.665,1.02155579425547e-15,"1","SERPINA1"
"MACF1",1.6768497318562e-19,0.431009798732047,0.635,0.447,4.01119224357321e-15,"1","MACF1"
"PTPN6",2.29218207490578e-19,0.377253358228307,0.68,0.497,5.48312874138212e-15,"1","PTPN6"
"SYK",3.52384825476486e-19,-0.358064546201838,0.415,0.608,8.42939741022302e-15,"1","SYK"
"TKT.1",1.19978056067773e-18,-0.367799487328993,0.77,0.851,2.86999507919719e-14,"1","TKT"
"WASF2",2.59521925418212e-18,0.318610238786618,0.685,0.505,6.20802397792905e-14,"1","WASF2"
"UTRN",2.69427721179627e-18,0.373615938991797,0.663,0.482,6.44498051833787e-14,"1","UTRN"
"NFKBIA",2.85748786533652e-18,-0.424566100530483,0.533,0.707,6.83539672267149e-14,"1","NFKBIA"
"PKM",2.9664272576306e-18,-0.360904292150155,0.496,0.671,7.09599064297816e-14,"1","PKM"
"LILRB2.1",6.05909211715274e-18,0.387097035745502,0.722,0.576,1.44939542534411e-13,"1","LILRB2"
"CST3",6.22166096297827e-18,-0.389368266943238,0.728,0.837,1.48828351895403e-13,"1","CST3"
"OGFRL1",1.09643687500617e-17,-0.338998182939859,0.335,0.542,2.62278664870226e-13,"1","OGFRL1"
"IL17RA",1.21353537661648e-17,-0.366167628276845,0.348,0.533,2.90289797440428e-13,"1","IL17RA"
"SELPLG",1.67353659395082e-17,0.293657319536261,0.511,0.323,4.00326688638975e-13,"1","SELPLG"
"SAT1.1",1.8382535291193e-17,0.324361491203532,0.898,0.818,4.39728626700628e-13,"1","SAT1"
"MPEG1.1",2.22291573846818e-17,-0.367354465113789,0.626,0.769,5.31743673798973e-13,"1","MPEG1"
"CTSS.1",2.98597042473398e-17,-0.279869233244177,1,0.985,7.14273985300615e-13,"1","CTSS"
"CECR1",5.51791739842527e-17,-0.325108805873186,0.343,0.545,1.31994102087731e-12,"1","CECR1"
"LRRFIP1",6.35191885735835e-17,0.346684166901146,0.83,0.748,1.51944250986869e-12,"1","LRRFIP1"
"ITGA4",8.15856204017191e-17,0.345612595746621,0.648,0.463,1.95160962562952e-12,"1","ITGA4"
"POU2F2.1",1.12924061746879e-16,0.320465545430032,0.667,0.494,2.70125648104709e-12,"1","POU2F2"
"SEPT9",1.20337910113511e-16,0.300023551837444,0.643,0.454,2.8786031478253e-12,"1","SEPT9"
"TALDO1",1.66884318315308e-16,-0.310649617721348,0.315,0.508,3.99203977842048e-12,"1","TALDO1"
"SULF2",1.73835371576387e-16,-0.324880951817849,0.341,0.54,4.15831592347876e-12,"1","SULF2"
"AIF1.1",2.5904481687607e-16,0.328709238884381,0.913,0.829,6.19661106449248e-12,"1","AIF1"
"MSN.1",5.75424152137458e-16,0.312647219542187,0.857,0.783,1.37647211432801e-11,"1","MSN"
"IER2",7.82618823489702e-16,-0.360382251168104,0.322,0.511,1.87210248766972e-11,"1","IER2"
"MTPN",1.1292364171084e-15,0.299982222404035,0.507,0.328,2.701246433365e-11,"1","MTPN"
"HLA-DRB5.1",1.37570644254338e-15,-0.442494914596561,0.335,0.532,3.29082738120803e-11,"1","HLA-DRB5"
"RPS13",1.67090857939036e-15,-0.332849509806068,0.687,0.813,3.99698041275968e-11,"1","RPS13"
"RPL31",1.95277225890157e-15,-0.3311554054022,0.754,0.851,4.67122652051844e-11,"1","RPL31"
"HLA-A.1",2.08701286469874e-15,-0.311774047144316,0.917,0.953,4.99234347364586e-11,"1","HLA-A"
"EHBP1L1",2.48090186522293e-15,0.316275729998167,0.591,0.425,5.93456535179976e-11,"1","EHBP1L1"
"TYROBP.1",4.13694526229184e-15,-0.330062656325563,0.859,0.918,9.89598676192832e-11,"1","TYROBP"
"FLNA",4.4937689407848e-15,0.311198616061677,0.835,0.738,1.07495446832513e-10,"1","FLNA"
"MT-ND2",4.92245026356416e-15,0.340516581070073,0.924,0.896,1.17749932754718e-10,"1","MT-ND2"
"TSC22D3",1.44381486373061e-14,0.293084196396704,0.667,0.505,3.45374953553e-10,"1","TSC22D3"
"BIN2",2.4819545673285e-14,0.334286619655665,0.648,0.502,5.93708352050651e-10,"1","BIN2"
"IER5",2.7946789824784e-14,0.287404556757269,0.526,0.359,6.68515159398657e-10,"1","IER5"
"GSTP1",3.89276921056108e-14,-0.312932277292016,0.507,0.672,9.31189322858316e-10,"1","GSTP1"
"DDX5",6.09879481856425e-14,0.27284959319666,0.889,0.832,1.45889270854875e-09,"1","DDX5"
"TSPO.1",6.19421276166557e-14,-0.329734235667314,0.502,0.657,1.48171763471802e-09,"1","TSPO"
