"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD6",1.76487582929004e-25,0.712466252531443,0.218,0.015,4.65238917359148e-21
"IL32",1.80006387119582e-25,0.670612326465032,0.184,0.007,4.74514837085931e-21
"OPTN",1.91829795313816e-25,0.602695500262296,0.213,0.014,5.05682523426749e-21
"ACAP1",5.20100865214998e-25,0.728412646847711,0.259,0.028,1.37103789079326e-20
"RPS3",5.3407949448295e-25,0.792798923814038,0.966,0.857,1.40788695540651e-20
"TC2N",8.50103997496047e-25,0.483379353574018,0.167,0.004,2.24095914779933e-20
"RORA",1.57181526674334e-24,0.670780843180579,0.207,0.014,4.14346222466213e-20
"TCF7",1.90195751376161e-24,0.925407828860142,0.27,0.034,5.01375020202698e-20
"NFATC2",2.46571443122741e-24,0.530826300906919,0.184,0.008,6.49986981215856e-20
"GOLGA8B",3.1076348865923e-24,0.87619221919507,0.322,0.053,8.19203632454596e-20
"FCRL6",5.30031088479497e-24,0.542786494252499,0.155,0.003,1.3972149523408e-19
"KLRD1",1.42293673453962e-23,0.732215574106371,0.178,0.008,3.75100352591988e-19
"HOPX",1.62795170470927e-23,0.663329617654498,0.178,0.008,4.29144348878411e-19
"DENND2D",3.06606051696716e-23,0.571632774441543,0.218,0.02,8.08244212877712e-19
"RPL3",3.34099453997059e-23,0.741437976938414,0.983,0.908,8.80719570681647e-19
"S1PR5",3.68107931450732e-23,0.55518027339508,0.149,0.003,9.70369318097274e-19
"LITAF",7.42852369399669e-23,1.05756422311391,0.46,0.13,1.95823313097447e-18
"KLRB1",8.22080120517964e-22,0.638033907557777,0.161,0.007,2.16708540569741e-17
"MGAT4A",8.39738956372743e-22,0.685810361322278,0.207,0.02,2.21363586289419e-17
"PTPN4",2.3667735791838e-21,0.663527593385029,0.253,0.035,6.23905183208642e-17
"STK17A",2.94800647948024e-21,0.789972460216056,0.264,0.041,7.77123988055786e-17
"TRIB2",4.99595629351615e-21,0.596971296381855,0.167,0.01,1.31698403853379e-16
"CAMK4",5.10183215434148e-21,0.655613466931736,0.155,0.007,1.34489397420596e-16
"DGKA",7.62155340119598e-21,0.744369080605685,0.264,0.041,2.00911769208927e-16
"KLRF1",5.10059639981453e-20,0.644477043757257,0.149,0.007,1.34456821695511e-15
"TRDC",5.36701545132212e-20,0.58092939208531,0.115,0,1.41479894312303e-15
"FCRL3",5.45528619968201e-20,0.59238980355797,0.149,0.007,1.43806799509817e-15
"RASGRP1",1.79275397460773e-19,0.631086278939682,0.172,0.014,4.72587875246343e-15
"SPTBN1",1.97556021602757e-19,0.730412937528181,0.282,0.052,5.20777428547027e-15
"IL24",2.19591265982771e-19,0.4348995666025,0.126,0.003,5.78864536257183e-15
"LAX1",2.50962077110429e-19,0.451772674293955,0.126,0.003,6.61561131470801e-15
"TIGIT",3.69345618276084e-19,0.5958457784717,0.132,0.004,9.73631984337586e-15
"SYTL3",7.89688754417183e-19,0.533144344118269,0.178,0.017,2.08169852551914e-14
"SEL1L3",8.61821410670095e-19,0.661397029597897,0.178,0.017,2.27184742066744e-14
"FAIM3",1.02616593921347e-18,0.536242409383783,0.178,0.017,2.70507603236064e-14
"CCR7",2.39972347941074e-18,0.734451766564869,0.161,0.013,6.32591106407465e-14
"LEF1",2.4359814497323e-18,0.631543600599524,0.155,0.011,6.42149069963931e-14
"GATA3",3.25822258414497e-18,0.58062508238479,0.132,0.006,8.58900055406455e-14
"CD7",3.69638277329055e-18,0.485591120514483,0.138,0.007,9.74403462867121e-14
"SAMD3",3.69638277329055e-18,0.404913457322529,0.138,0.007,9.74403462867121e-14
"SLFN12L",3.73136711036596e-18,0.504889017753207,0.138,0.007,9.8362568396357e-14
"SKAP1",4.15784762573111e-18,0.441342163570067,0.132,0.006,1.09605021261898e-13
"C1orf21",8.98107494251461e-18,0.406720759662731,0.109,0.001,2.36750116559628e-13
"SBK1",9.18370987660172e-18,0.479810758757382,0.109,0.001,2.42091776057098e-13
"SLFN5",1.06346671715379e-17,0.885838967393238,0.632,0.287,2.8034046130891e-13
"CD99",3.83157291045828e-17,0.642314689849717,0.218,0.035,1.01004093492591e-12
"P2RY8",6.33523181053614e-17,0.824583248415891,0.287,0.066,1.67003045757543e-12
"ITK",1.54493240572052e-16,0.425368183716527,0.149,0.013,4.07259631471987e-12
"CXCR4",1.59049455265958e-16,0.795103030251742,0.368,0.106,4.19270269026592e-12
"BIN1",2.90096784363495e-16,0.65926291436599,0.213,0.035,7.6472413326061e-12
"PCED1B-AS1",4.8434652145295e-16,0.665744324120092,0.241,0.046,1.27678586520212e-11
"TRGC2",1.07902608550811e-15,0.449339395502258,0.103,0.003,2.84442066400793e-11
"ITM2A",1.69046331512797e-15,0.427401191274424,0.126,0.008,4.45623034500885e-11
"PRSS23",1.91221259222986e-15,0.409203586393004,0.121,0.007,5.04078361437713e-11
"ATP8B2",1.94735673594521e-15,0.36595247261942,0.121,0.007,5.13342709162516e-11
"IKZF2",1.94816974957155e-15,0.575729963641905,0.115,0.006,5.13557027684555e-11
"CTSS",2.15893879474926e-15,-0.44603934718403,1,0.999,5.69117855683853e-11
"MLLT6",2.34303695873045e-15,0.630904855478231,0.351,0.102,6.17647972690935e-11
"CLEC2D",2.68095392371847e-15,0.407328918265778,0.201,0.032,7.06726263831426e-11
"TNFAIP3",4.36518575829754e-15,0.789323916261211,0.414,0.143,1.15070661774481e-10
"LY9",7.51116490632363e-15,0.437728424814969,0.138,0.013,1.98001818095597e-10
"PDE4D",9.41416692711905e-15,0.48071043572895,0.132,0.011,2.48166854365785e-10
"ALOX5AP",1.08311681766829e-14,0.447554749567288,0.121,0.008,2.85520424305537e-10
"PLCG1",1.41308832237996e-14,0.431103536785602,0.109,0.006,3.72504212662582e-10
"RP11-284N8.3",1.79846992253803e-14,0.275057052350344,0.115,0.007,4.74094656280251e-10
"TNRC6C",2.7472826351746e-14,0.506435475435299,0.155,0.02,7.24211175458376e-10
"ATP2A3",3.6325574720659e-14,0.363282567180602,0.138,0.014,9.57578475211291e-10
"CXXC5",4.80238344888442e-14,0.469496192921238,0.155,0.02,1.26595630096042e-09
"SELL",5.20305814781561e-14,0.831564529543734,0.351,0.115,1.37157815834567e-09
"GNPTAB",7.31051229655368e-14,0.679461549842283,0.454,0.179,1.92712414649452e-09
"HLA-A",8.54713907651614e-14,0.469280522391262,0.989,0.941,2.25311133196042e-09
"APMAP",9.03219534173889e-14,0.726089474838994,0.345,0.111,2.38097701403579e-09
"PXN",9.43330096419792e-14,0.440242202709258,0.161,0.022,2.48671246717221e-09
"ITGA6",1.04131461153412e-13,0.52796023036711,0.138,0.015,2.74500944746509e-09
"BHLHE40",1.19805061378661e-13,0.557307716708738,0.195,0.036,3.15818122300289e-09
"TRABD2A",1.21804442468991e-13,0.400615938814688,0.109,0.007,3.21088690792506e-09
"MS4A1",1.67179950068027e-13,1.26048869677037,0.126,0.013,4.40703066374327e-09
"HIST1H1D",1.73188949043937e-13,0.613326582308591,0.333,0.104,4.56543388574723e-09
"RPLP2",1.74293397896325e-13,0.572458472691706,0.931,0.776,4.59454826194504e-09
"CD69",2.46323951884919e-13,0.455759921810199,0.172,0.028,6.49334569563836e-09
"IL2RG",2.55650649737471e-13,0.546697399165933,0.27,0.071,6.73920677772947e-09
"PLEKHG3",3.59863441142767e-13,0.371721432283095,0.161,0.024,9.48636017196447e-09
"TTN",3.74281708290357e-13,0.611172921251408,0.155,0.022,9.86644011224211e-09
"ITGAM",4.46817516828217e-13,0.534267675863597,0.247,0.062,1.17785565611086e-08
"LDLRAP1",7.67165945152228e-13,0.517162668948656,0.167,0.028,2.02232614801579e-08
"CD226",7.71265986673972e-13,0.273843078893471,0.109,0.008,2.03313426747126e-08
"RHOH",8.30163554792463e-13,0.341824343397858,0.103,0.007,2.18839414678841e-08
"EOMES",9.29873241806013e-13,0.387159393813544,0.103,0.007,2.45123885272483e-08
"TTC38",1.37463517006344e-12,0.399733459185931,0.155,0.024,3.62367577180423e-08
"AIF1",1.50723797991811e-12,-0.539054896898544,0.902,0.948,3.97323003886212e-08
"PRKACB",2.05061457915347e-12,0.491869195764793,0.241,0.062,5.40562509210646e-08
"RPS6",2.64948410204209e-12,0.51085710973029,0.966,0.94,6.98430504139315e-08
"GRAP2",3.25576938823653e-12,0.371402229762506,0.132,0.017,8.58253368433032e-08
"LINC00623",3.68884877598822e-12,0.342559764621439,0.132,0.017,9.72417425838256e-08
"SORL1",7.93996527131422e-12,0.78499700053236,0.552,0.28,2.09305424517114e-07
"EPB41",8.68699673971104e-12,0.666597707898219,0.397,0.157,2.28997921055523e-07
"SYTL2",1.17445930007734e-11,0.414486824508357,0.115,0.013,3.09599216093387e-07
"ANXA6",1.28984253094193e-11,0.668687727845235,0.362,0.14,3.40015389581603e-07
"FTL",1.35146078887127e-11,-0.461690520456972,0.989,0.994,3.56258578554355e-07
"PDE7A",1.3683806694265e-11,0.478879861553184,0.161,0.029,3.6071882826752e-07
"LDHB",1.38684336054758e-11,0.707186918679671,0.339,0.125,3.65585778273948e-07
"FBXO32",1.60170761244243e-11,0.368250570551568,0.109,0.011,4.22226143715948e-07
"RBL2",1.70185008372559e-11,0.632022332400228,0.58,0.294,4.48624700570903e-07
"RPS5",1.76603434163653e-11,0.554312597763162,0.902,0.772,4.65544312798806e-07
"ZCCHC11",1.80741892523132e-11,0.478559045763468,0.184,0.039,4.76453702880229e-07
"TESPA1",1.98200216197768e-11,0.433378307795006,0.109,0.011,5.22475589918937e-07
"NCAM1",2.0736523201292e-11,0.43376376102125,0.138,0.021,5.46635488109258e-07
"CDC25B",3.15990708418644e-11,0.481054625468967,0.218,0.056,8.32983106462387e-07
"ZNF639",3.87776293488469e-11,0.378020410398316,0.19,0.042,1.02221708726495e-06
"JUN",5.97214670843198e-11,0.769876593566878,0.31,0.111,1.57431759380975e-06
"OFD1",6.74334572962875e-11,0.296737804246344,0.213,0.053,1.77761336778744e-06
"KIAA1147",7.19408589971135e-11,0.40871694351359,0.155,0.029,1.89643298402291e-06
"RPL18",9.08934509621616e-11,0.470968494390957,0.983,0.864,2.39604226081354e-06
"PLRG1",1.07307858645155e-10,0.529749365028783,0.236,0.069,2.82874246174493e-06
"SLFN13",1.16482986918834e-10,0.362390366231996,0.121,0.017,3.0706080181674e-06
"COTL1",2.34425971022492e-10,-0.447591818951018,0.966,0.971,6.17970302212391e-06
"USP28",3.32395193304428e-10,0.512771256419265,0.201,0.053,8.76226969069802e-06
"RPSA",3.33996495308669e-10,0.659617097789017,0.626,0.373,8.80448161283182e-06
"LST1",3.3954687580839e-10,-0.489594973504011,0.925,0.923,8.95079519318496e-06
"RPS12",3.94292598988486e-10,0.520221154213853,0.902,0.798,1.03939472019355e-05
"RCAN3",4.28871975729673e-10,0.417586600196007,0.138,0.025,1.13054941522099e-05
"GBP5",4.92679767261696e-10,0.390135473353466,0.408,0.169,1.29875313447856e-05
"IGHM",6.01994113401107e-10,1.05197594965125,0.144,0.029,1.58691668233666e-05
"IGF2R",6.2055507037344e-10,0.574090085453788,0.466,0.22,1.63584522101142e-05
"NUCB2",7.88950684323239e-10,0.410763895913198,0.172,0.041,2.07975289894449e-05
"MT-RNR2",8.11466272133367e-10,-0.35756257464492,1,1,2.13910623997077e-05
"RPL13",8.52438125036879e-10,0.47091935519731,0.925,0.856,2.24711214140972e-05
"RPLP1",1.18388804763439e-09,0.499953558834247,0.902,0.71,3.12084728236901e-05
"RPS27",1.28322747106293e-09,0.653936156836899,0.741,0.506,3.382715936469e-05
"OGT",1.44298625994189e-09,0.561271052309341,0.46,0.22,3.80385607983281e-05
"ATRX",1.46921477917623e-09,0.556579589572948,0.586,0.326,3.87299707938647e-05
"CD79A",1.59043952753988e-09,0.511439218054167,0.103,0.014,4.19255763854787e-05
"TTC37",1.61057847314734e-09,0.586423578588754,0.31,0.118,4.24564591306371e-05
"MZT2A",1.65034782962253e-09,0.430902666983775,0.213,0.063,4.35048191366794e-05
"RPL13A",1.89914660751886e-09,0.490704799921745,0.92,0.871,5.00634037208047e-05
"CBLB",2.1668367695028e-09,0.300818466035828,0.144,0.029,5.71199840808632e-05
"SATB1",2.72656651464461e-09,0.537084252496498,0.333,0.136,7.18750198925465e-05
"ZMYND11",4.15122047076822e-09,0.327199818205787,0.195,0.055,0.000109430322829921
"RUNX3",4.8277034781242e-09,0.637176281872686,0.626,0.374,0.000127263091386832
"RPL19",4.83520153870768e-09,0.457806461803233,0.966,0.884,0.000127460747761873
"ZNF91",5.02134867276624e-09,0.504573061403697,0.218,0.07,0.000132367772362791
"RNF125",5.26129464620729e-09,0.422809518471977,0.172,0.045,0.00013869298816867
"RPL31",5.94277206360392e-09,0.481558753001234,0.914,0.825,0.000156657414368663
"ADD3",6.85905563274505e-09,0.54656104074421,0.621,0.354,0.000180811565534792
"PIM1",8.70661612594897e-09,0.379770140581362,0.218,0.069,0.000229515107696141
"FCGR3A",9.12160439668441e-09,-0.362397931197719,0.983,0.99,0.000240454613500998
"ATP2B4",9.87798124189969e-09,0.433970037093477,0.385,0.167,0.000260393463517718
"LILRB2",1.11806146979758e-08,-0.637147634042513,0.73,0.811,0.000294732184053341
"RPSAP58",1.15875988847332e-08,0.538750797293049,0.724,0.508,0.000305460694200453
"PPP1R16B",1.18567208496161e-08,0.518492561510839,0.213,0.07,0.00031255501831673
"BTN3A2",1.35534138102563e-08,0.601791814772041,0.557,0.324,0.000357281541452166
"ARID5B",1.38233905474492e-08,0.471740940944059,0.328,0.134,0.000364398398221309
"RPL11",1.59866384101367e-08,0.404124964709969,0.931,0.877,0.000421423775129613
"PIK3IP1",1.75990241333349e-08,0.46937510061924,0.385,0.171,0.000463927875178841
"DGKZ",1.79082609616993e-08,0.497929990461861,0.23,0.08,0.000472079667211356
"LYN",2.11032186041793e-08,-0.417976367479862,0.925,0.937,0.000556301945624771
"RALGPS2",2.4284432694825e-08,0.320062063846745,0.144,0.034,0.000640161930268282
"MT-RNR1",2.65884407663996e-08,-0.397678027002458,1,0.997,0.00070089788704306
"CYBB",2.90882366754815e-08,-0.536022738057212,0.908,0.903,0.000766795007002367
"SACS",3.29847057987662e-08,0.456819463766546,0.184,0.055,0.000869509829561277
"CCSER2",3.31528620294683e-08,0.543845042003145,0.287,0.116,0.000873942595958814
"PHC3",3.41016747305707e-08,0.407965163040703,0.339,0.143,0.000898954247572574
"RARRES3",3.41582592617843e-08,0.443540628678161,0.351,0.153,0.000900445872399896
"RPL23A",3.53837839538926e-08,0.426286280297469,0.546,0.3,0.000932751928808563
"NIPAL3",4.94628140138742e-08,0.261464306575219,0.144,0.035,0.00130388924021974
"PARP15",4.96032412109887e-08,0.253449072678759,0.115,0.022,0.00130759104156287
"NUMA1",6.42116123749128e-08,0.427792546386025,0.31,0.132,0.00169268231381508
"EVL",6.5951442492271e-08,0.488667097510916,0.603,0.364,0.00173854597553876
"CEP78",6.82298257661468e-08,0.58726951901415,0.213,0.076,0.00179860643702139
"ATP8A1",7.00888907630546e-08,0.306294754341715,0.184,0.056,0.00184761324940488
"TSEN54",8.19838187328825e-08,0.330625746249906,0.155,0.042,0.00216117544561752
"CDC42SE2",8.50208149077474e-08,0.420684306950911,0.523,0.294,0.00224123370178313
"RPS29",8.78813325944275e-08,0.479295776502928,0.764,0.549,0.0023166398085217
"RPS18",9.83382587812664e-08,0.452988395013977,0.885,0.793,0.00259229483973296
"RNF115",1.08936775367308e-07,0.426353539925713,0.19,0.062,0.00287168233545762
"MALAT1",1.21042478082713e-07,0.277206556816602,1,0.997,0.0031908007647384
"ZBTB38",1.24596078258933e-07,0.410643196233272,0.27,0.108,0.00328447721898373
"SNRNP70",1.2648018890477e-07,0.402650884455147,0.385,0.182,0.00333414425971865
"MAN1A2",1.3085383476669e-07,0.432737027817101,0.379,0.181,0.00344943793828471
"PEBP1",1.36681980204516e-07,0.390150762145999,0.299,0.125,0.00360307368017125
"NCF2",1.36957508926864e-07,-0.616570344110035,0.678,0.734,0.00361033689282105
"SAT1",1.38773356103443e-07,-0.474822495978668,0.902,0.945,0.00365820444024285
"ATM",1.43569090194539e-07,0.567559041755263,0.598,0.357,0.00378462478661825
"MAP4K1",1.45607109761533e-07,0.383842128269014,0.109,0.022,0.00383834902042376
"RPL27A",1.4625326436875e-07,0.369042243083987,0.937,0.842,0.00385538230202462
"RPL27",1.48623699039927e-07,0.414690133683119,0.833,0.637,0.0039178693303915
"CHD3",1.73331315161091e-07,0.444987973605276,0.5,0.279,0.00456918679896151
"IL6ST",1.79378436275334e-07,0.370519642964219,0.213,0.074,0.00472859495865408
"TAGAP",1.83637378997548e-07,0.348059360748589,0.345,0.157,0.00484086494775437
"SNHG8",1.95618568519209e-07,0.348313850229353,0.241,0.091,0.00515670108473486
"PRPF39",2.68805566702883e-07,0.398082230886104,0.224,0.083,0.00708598354385469
"DNAJB9",2.71007740231555e-07,0.320849216794024,0.161,0.048,0.00714403504024401
"FGL2",2.7512377258983e-07,-0.468519620919538,0.874,0.877,0.00725253776924051
"NOSIP",2.90733746447109e-07,0.577195455108078,0.299,0.136,0.00766403229009224
"KLF12",3.00337883499412e-07,0.347738682976105,0.333,0.148,0.007917206946928
"CALM1",3.11993509611813e-07,0.450484396113151,0.891,0.732,0.008224460906877
"IFITM1",3.24623214154595e-07,0.299242344817265,0.167,0.05,0.00855739254832929
"PPP2R5C",3.70098349101204e-07,0.516619383749277,0.517,0.311,0.00975616258065685
"RPS2",3.70146059652871e-07,0.309703935160638,0.971,0.93,0.00975742027850934
"LTB",3.87333898715136e-07,0.677613953338823,0.454,0.266,0.0102105089040297
"RPS14",4.25955095872797e-07,0.367962865412113,0.971,0.924,0.0112286022823028
"BTG1",4.27706737281542e-07,0.414482021359163,0.828,0.683,0.0112747773014787
"MAPRE2",4.29025698012724e-07,0.361673848150762,0.351,0.165,0.0113095464253134
"SEMA4D",4.46888032562491e-07,0.523820032047097,0.408,0.214,0.0117804154263798
"IPCEF1",4.57806005459018e-07,0.401368247528987,0.201,0.071,0.0120682241099052
"AES",5.39703337508973e-07,0.437599449188398,0.167,0.053,0.014227119680074
"DUSP2",5.52409228748326e-07,0.447025720608396,0.155,0.048,0.0145620596790346
"EIF4G3",5.55817249497986e-07,0.343253870483774,0.19,0.066,0.0146518985140164
"CASP8AP2",5.60247639778282e-07,0.359362875020137,0.299,0.129,0.0147686880321953
"CSF1R",5.7446236578748e-07,-0.493926498720949,0.908,0.892,0.0151434024245238
"PIK3R1",5.86630848137693e-07,0.424549618597729,0.598,0.364,0.0154641757877577
"VPS13A",6.07386396996305e-07,0.345080620721961,0.178,0.059,0.0160113128112196
"HIPK2",6.34399821003759e-07,0.511938232318268,0.454,0.249,0.0167234136814801
"TNFRSF1B",6.70803914213856e-07,-0.354213644518726,0.966,0.968,0.0176830619825914
"SETDB2",7.06619869156006e-07,0.314586104751384,0.172,0.056,0.0186272063708215
"PFKP",7.26563205642458e-07,0.304593385486892,0.109,0.025,0.0191529326639408
"RRP1B",7.34485129998399e-07,0.369754412189665,0.23,0.09,0.0193617625118878
"TIA1",7.56374565774866e-07,0.383761609696309,0.293,0.129,0.0199387899283913
"HIST1H4C",8.33600319771007e-07,0.374724784526444,0.172,0.057,0.0219745380294835
"XBP1",8.6644465679753e-07,0.342168499966209,0.282,0.122,0.0228403475978397
"DGKD",8.72215960132968e-07,0.434564084414401,0.264,0.113,0.0229924849250652
"NCL",9.34368924623879e-07,0.468946895208829,0.799,0.613,0.0246308992220101
"DYRK2",9.83886980170351e-07,0.271926960071652,0.368,0.176,0.0259362446842706
"RPS4X",1.07966065481296e-06,0.336010695324592,0.971,0.892,0.0284609345215244
"SLC2A3",1.2405145010835e-06,0.411353049910795,0.144,0.043,0.0327012027630622
"RGS2",1.26328586770408e-06,-0.659978170038258,0.569,0.66,0.0333014787585472
"MT-CO1",1.44108301548543e-06,-0.272495856639409,1,0.997,0.0379883893712115
"TKT",1.46764358130884e-06,-0.484606554169795,0.845,0.845,0.0386885524468824
"PPM1K",1.50486961814523e-06,0.315887044499473,0.167,0.055,0.0396698680039264
"ZMYND8",1.58961435275325e-06,0.336517295550091,0.264,0.113,0.0419038239529285
"RPS20",1.60619662355554e-06,0.441925057052694,0.868,0.748,0.0423409491935476
"TAF7",1.64408140660471e-06,0.318313420932428,0.471,0.249,0.0433396299595068
"KIAA0040",1.75125640468064e-06,0.373569208826421,0.126,0.035,0.0461648700837863
"RPS23",1.76425223096093e-06,0.395432793681369,0.839,0.696,0.0465074530603611
"USP47",1.8361033730866e-06,0.447469243742259,0.345,0.171,0.0484015210179358
"FAM115A",1.83762904981701e-06,0.29580173395186,0.109,0.027,0.0484417393822261
"FUT11",1.94867731309391e-06,0.343497287880794,0.155,0.05,0.0513690826504685
"NOL11",1.99296821324564e-06,0.374516185704412,0.149,0.048,0.0525366350693683
"RPLP0",2.02100062382977e-06,0.434017807477282,0.862,0.71,0.0532755974447766
"NCK2",2.03066705337425e-06,0.319634615870081,0.149,0.048,0.0535304141939987
"PSIP1",2.0543017358047e-06,0.484762517967525,0.339,0.172,0.0541534480575478
"TGFBR1",2.08118150563331e-06,0.40842705255887,0.178,0.063,0.0548620256699998
"KDM3A",2.14766233266582e-06,0.306224606577409,0.23,0.092,0.0566145267514037
"RPS27A",2.15349171480545e-06,0.431904679383051,0.828,0.637,0.0567681950939864
"GOLGA4",2.22102886164386e-06,0.398373486450288,0.356,0.175,0.0585485418217938
"SLC9A3R1",2.28202331530812e-06,0.296164147408651,0.471,0.254,0.0601564166148373
"FDFT1",2.29713609607759e-06,0.2691777470921,0.213,0.083,0.0605548046287012
"PDE3B",2.3479565653533e-06,0.293704815850588,0.184,0.066,0.0618944830192784
"DDX6",2.38025208404673e-06,0.356512520283516,0.563,0.35,0.0627458251875559
"ZFAND5",2.47371262409705e-06,-0.500924614763659,0.787,0.789,0.0652095384838222
"GAS5",2.58991581482616e-06,0.390083592864781,0.374,0.195,0.0682727707946325
"SDHA",2.62584851530748e-06,0.391565450965051,0.259,0.115,0.0692199927120206
"HINT1",2.68145058577132e-06,0.296866687406082,0.356,0.176,0.0706857188915177
"RPL32",2.6884917064083e-06,0.4884332805715,0.776,0.599,0.0708713298726293
"TBC1D10C",2.743987535153e-06,0.327419559506366,0.54,0.31,0.0723342554141681
"SERPINA1",2.85455934661283e-06,-0.449612748861068,0.897,0.86,0.0752490389360608
"ATHL1",2.90609883944322e-06,0.306800016314197,0.31,0.146,0.0766076715065626
"WDR33",3.02145544372703e-06,0.409025929804391,0.241,0.104,0.0796485869520883
"MARCH8",3.06374262683719e-06,0.330289297421493,0.276,0.123,0.0807633193860551
"NPM1",3.24054696027972e-06,0.432778123927033,0.517,0.319,0.0854240584199336
"SLC20A1",3.38407988812714e-06,0.341007590076438,0.322,0.153,0.0892077299309196
"SFI1",3.46040989676681e-06,0.33716704195178,0.201,0.078,0.0912198652886699
"PHPT1",3.53243744493398e-06,0.423064925319149,0.224,0.094,0.0931185834859046
"TMC8",3.6366372431555e-06,0.446759788278821,0.466,0.273,0.095865394366822
"KIAA1731",3.64752646098149e-06,0.373340371182614,0.149,0.049,0.096152445037933
"LRRC25",3.90146911197635e-06,-0.586919453605483,0.494,0.622,0.102846627260809
"RPL35A",4.52471208275064e-06,0.42748847647274,0.81,0.676,0.11927593521339
