"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP023.3101","SeuratProject",4977,1830,0.108108108108108,"Singlet","1","1"
"HIP023.3102","SeuratProject",4431,1813,0.117117117117117,"Singlet","1","1"
"HIP023.3103","SeuratProject",4823,1837,0.252252252252252,"Singlet","0","0"
"HIP023.3105","SeuratProject",4594,1800,0.0990990990990991,"Singlet","1","1"
"HIP023.3107","SeuratProject",4146,1827,0.576576576576577,"Doublet","0","0"
"HIP023.3109","SeuratProject",3741,1813,0.171171171171171,"Singlet","0","0"
"HIP023.3110","SeuratProject",4719,1833,0.117117117117117,"Singlet","0","0"
"HIP023.3111","SeuratProject",4127,1815,0.423423423423423,"Singlet","2","2"
"HIP023.3112","SeuratProject",5625,1843,0.342342342342342,"Singlet","2","2"
"HIP023.3113","SeuratProject",4228,1843,0.135135135135135,"Singlet","3","3"
"HIP023.3114","SeuratProject",4652,1809,0.162162162162162,"Singlet","0","0"
"HIP023.3115","SeuratProject",4492,1838,0.441441441441441,"Singlet","6","6"
"HIP023.3116","SeuratProject",5120,1800,0.144144144144144,"Singlet","1","1"
"HIP023.3117","SeuratProject",4354,1833,0.306306306306306,"Singlet","0","0"
"HIP023.3118","SeuratProject",4492,1838,0.234234234234234,"Singlet","4","4"
"HIP023.3119","SeuratProject",4946,1834,0.0630630630630631,"Singlet","0","0"
"HIP023.3120","SeuratProject",4925,1841,0.234234234234234,"Singlet","1","1"
"HIP023.3121","SeuratProject",4104,1860,0.306306306306306,"Singlet","6","6"
"HIP023.3123","SeuratProject",4420,1864,0.18018018018018,"Singlet","5","5"
"HIP023.3124","SeuratProject",3757,1819,0.207207207207207,"Singlet","0","0"
"HIP023.3125","SeuratProject",4029,1863,0.54954954954955,"Doublet","0","0"
"HIP023.3126","SeuratProject",4211,1850,0.342342342342342,"Singlet","0","0"
"HIP023.3128","SeuratProject",5994,1864,0.162162162162162,"Singlet","4","4"
"HIP023.3129","SeuratProject",4836,1846,0.18018018018018,"Singlet","1","1"
"HIP023.3130","SeuratProject",4576,1859,0.684684684684685,"Doublet","0","0"
"HIP023.3131","SeuratProject",5077,1865,0.108108108108108,"Singlet","3","3"
"HIP023.3132","SeuratProject",4482,1877,0.126126126126126,"Singlet","5","5"
"HIP023.3133","SeuratProject",4789,1843,0.378378378378378,"Singlet","0","0"
"HIP023.3134","SeuratProject",5069,1849,0.207207207207207,"Singlet","1","1"
"HIP023.3135","SeuratProject",4661,1885,0.216216216216216,"Singlet","3","3"
"HIP023.3136","SeuratProject",4683,1866,0.126126126126126,"Singlet","0","0"
"HIP023.3137","SeuratProject",4391,1874,0.198198198198198,"Singlet","2","2"
"HIP023.3138","SeuratProject",4919,1866,0.18018018018018,"Singlet","1","1"
"HIP023.3139","SeuratProject",4307,1884,0.045045045045045,"Singlet","5","5"
"HIP023.3140","SeuratProject",4582,1868,0.216216216216216,"Singlet","3","3"
"HIP023.3141","SeuratProject",5869,1860,0.144144144144144,"Singlet","4","4"
"HIP023.3142","SeuratProject",10052,1903,0.306306306306306,"Singlet","9","9"
"HIP023.3143","SeuratProject",4365,1888,0.216216216216216,"Singlet","3","3"
"HIP023.3144","SeuratProject",4373,1873,0.477477477477477,"Singlet","0","0"
"HIP023.3145","SeuratProject",4337,1893,0.63963963963964,"Doublet","0","0"
"HIP023.3146","SeuratProject",4750,1880,0.234234234234234,"Singlet","0","0"
"HIP023.3147","SeuratProject",4446,1910,0.396396396396396,"Singlet","1","1"
"HIP023.3148","SeuratProject",4534,1887,0.0720720720720721,"Singlet","3","3"
"HIP023.3149","SeuratProject",4442,1880,0.567567567567568,"Doublet","6","6"
"HIP023.3150","SeuratProject",4536,1869,0.117117117117117,"Singlet","1","1"
"HIP023.3151","SeuratProject",4277,1892,0.189189189189189,"Singlet","1","1"
"HIP023.3152","SeuratProject",4370,1884,0.576576576576577,"Doublet","6","6"
"HIP023.3153","SeuratProject",4307,1904,0.45045045045045,"Singlet","9","9"
"HIP023.3154","SeuratProject",4570,1886,0.18018018018018,"Singlet","3","3"
"HIP023.3155","SeuratProject",4642,1905,0.279279279279279,"Singlet","3","3"
"HIP023.3156","SeuratProject",4581,1884,0.189189189189189,"Singlet","0","0"
"HIP023.3158","SeuratProject",5099,1885,0.387387387387387,"Singlet","0","0"
"HIP023.3160","SeuratProject",4918,1915,0.288288288288288,"Singlet","4","4"
"HIP023.3161","SeuratProject",4663,1931,0.0720720720720721,"Singlet","5","5"
"HIP023.3162","SeuratProject",5308,1915,0.0900900900900901,"Singlet","1","1"
"HIP023.3163","SeuratProject",5019,1917,0.612612612612613,"Doublet","6","6"
"HIP023.3164","SeuratProject",4430,1921,0.495495495495495,"Doublet","0","0"
"HIP023.3165","SeuratProject",4476,1918,0.162162162162162,"Singlet","3","3"
"HIP023.3166","SeuratProject",4802,1918,0.396396396396396,"Singlet","0","0"
"HIP023.3167","SeuratProject",5112,1926,0.612612612612613,"Doublet","6","6"
"HIP023.3168","SeuratProject",5353,1930,0.297297297297297,"Singlet","2","2"
"HIP023.3169","SeuratProject",5408,1907,0.126126126126126,"Singlet","1","1"
"HIP023.3170","SeuratProject",5695,1925,0.162162162162162,"Singlet","0","0"
"HIP023.3171","SeuratProject",4482,1947,0.306306306306306,"Singlet","1","1"
"HIP023.3172","SeuratProject",5104,1931,0.603603603603604,"Doublet","0","0"
"HIP023.3173","SeuratProject",5129,1928,0.369369369369369,"Singlet","0","0"
"HIP023.3174","SeuratProject",5939,1937,0.306306306306306,"Singlet","1","1"
"HIP023.3175","SeuratProject",4448,1964,0.207207207207207,"Singlet","3","3"
"HIP023.3176","SeuratProject",4993,1943,0.666666666666667,"Doublet","6","6"
"HIP023.3177","SeuratProject",4650,1979,0.234234234234234,"Singlet","3","3"
"HIP023.3178","SeuratProject",5330,1969,0.288288288288288,"Singlet","3","3"
"HIP023.3179","SeuratProject",4704,1945,0.558558558558559,"Doublet","0","0"
"HIP023.3180","SeuratProject",5073,1976,0.225225225225225,"Singlet","3","3"
"HIP023.3181","SeuratProject",4770,1964,0.153153153153153,"Singlet","1","1"
"HIP023.3182","SeuratProject",4579,1980,0.234234234234234,"Singlet","3","3"
"HIP023.3183","SeuratProject",4771,1967,0.207207207207207,"Singlet","3","3"
"HIP023.3184","SeuratProject",5108,1984,0.315315315315315,"Singlet","5","5"
"HIP023.3185","SeuratProject",5217,1949,0.369369369369369,"Singlet","0","0"
"HIP023.3186","SeuratProject",5181,1981,0.162162162162162,"Singlet","4","4"
"HIP023.3187","SeuratProject",4177,1983,0.0900900900900901,"Singlet","2","2"
"HIP023.3188","SeuratProject",4906,1968,0.153153153153153,"Singlet","3","3"
"HIP023.3189","SeuratProject",5169,1975,0.234234234234234,"Singlet","3","3"
"HIP023.3190","SeuratProject",5324,1976,0.234234234234234,"Singlet","1","1"
"HIP023.3191","SeuratProject",5020,1985,0.0810810810810811,"Singlet","5","5"
"HIP023.3192","SeuratProject",5617,1975,0.18018018018018,"Singlet","0","0"
"HIP023.3193","SeuratProject",6780,1985,0.279279279279279,"Singlet","9","9"
"HIP023.3194","SeuratProject",4865,1995,0.207207207207207,"Singlet","0","0"
"HIP023.3195","SeuratProject",5005,1987,0.567567567567568,"Doublet","0","0"
"HIP023.3196","SeuratProject",4738,2013,0.135135135135135,"Singlet","5","5"
"HIP023.3197","SeuratProject",5059,2005,0.297297297297297,"Singlet","1","1"
"HIP023.3198","SeuratProject",5267,2009,0.153153153153153,"Singlet","3","3"
"HIP023.3199","SeuratProject",5762,2001,0.216216216216216,"Singlet","3","3"
"HIP023.3200","SeuratProject",4576,2019,0.585585585585586,"Doublet","0","0"
"HIP023.3201","SeuratProject",5430,1998,0.243243243243243,"Singlet","0","0"
"HIP023.3203","SeuratProject",5754,2002,0.207207207207207,"Singlet","1","1"
"HIP023.3204","SeuratProject",5254,2036,0.162162162162162,"Singlet","3","3"
"HIP023.3205","SeuratProject",5435,2045,0.279279279279279,"Singlet","12","12"
"HIP023.3206","SeuratProject",4910,2039,0.162162162162162,"Singlet","1","1"
"HIP023.3207","SeuratProject",4842,2034,0.648648648648649,"Doublet","6","6"
"HIP023.3208","SeuratProject",4697,2036,0.279279279279279,"Singlet","12","12"
"HIP023.3209","SeuratProject",6368,2013,0.207207207207207,"Singlet","0","0"
"HIP023.3210","SeuratProject",5686,2042,0.405405405405405,"Singlet","0","0"
"HIP023.3211","SeuratProject",5587,2047,0.297297297297297,"Singlet","1","1"
"HIP023.3212","SeuratProject",4766,2045,0.198198198198198,"Singlet","3","3"
"HIP023.3213","SeuratProject",5187,2009,0.171171171171171,"Singlet","1","1"
"HIP023.3214","SeuratProject",4508,2063,0.288288288288288,"Singlet","12","12"
"HIP023.3215","SeuratProject",4587,2052,0.324324324324324,"Singlet","12","12"
"HIP023.3216","SeuratProject",5299,2022,0.36036036036036,"Singlet","0","0"
"HIP023.3217","SeuratProject",5409,2058,0.261261261261261,"Singlet","3","3"
"HIP023.3218","SeuratProject",4883,2070,0.189189189189189,"Singlet","3","3"
"HIP023.3220","SeuratProject",4709,2087,0.315315315315315,"Singlet","9","9"
"HIP023.3221","SeuratProject",5145,2058,0.585585585585586,"Doublet","0","0"
"HIP023.3222","SeuratProject",5188,2073,0.18018018018018,"Singlet","3","3"
"HIP023.3223","SeuratProject",6037,1998,0.135135135135135,"Singlet","0","0"
"HIP023.3225","SeuratProject",4938,2050,0.117117117117117,"Singlet","1","1"
"HIP023.3226","SeuratProject",5006,2065,0.666666666666667,"Doublet","0","0"
"HIP023.3227","SeuratProject",4978,2097,0.198198198198198,"Singlet","3","3"
"HIP023.3228","SeuratProject",5426,2077,0.261261261261261,"Singlet","1","1"
"HIP023.3229","SeuratProject",5355,2099,0.234234234234234,"Singlet","3","3"
"HIP023.3230","SeuratProject",5419,2088,0.18018018018018,"Singlet","3","3"
"HIP023.3231","SeuratProject",5333,2099,0.189189189189189,"Singlet","3","3"
"HIP023.3232","SeuratProject",5474,2101,0.261261261261261,"Singlet","0","0"
"HIP023.3233","SeuratProject",5677,2102,0.207207207207207,"Singlet","3","3"
"HIP023.3234","SeuratProject",5531,2065,0.234234234234234,"Singlet","3","3"
"HIP023.3235","SeuratProject",5943,2101,0.0900900900900901,"Singlet","1","1"
"HIP023.3236","SeuratProject",5520,2108,0.27027027027027,"Singlet","1","1"
"HIP023.3237","SeuratProject",4894,2129,0.279279279279279,"Singlet","12","12"
"HIP023.3238","SeuratProject",5713,2121,0.135135135135135,"Singlet","1","1"
"HIP023.3239","SeuratProject",5350,2106,0.486486486486487,"Singlet","6","6"
"HIP023.3240","SeuratProject",5815,2137,0.18018018018018,"Singlet","3","3"
"HIP023.3242","SeuratProject",5764,2133,0.423423423423423,"Singlet","9","9"
"HIP023.3243","SeuratProject",6450,2104,0.153153153153153,"Singlet","0","0"
"HIP023.3244","SeuratProject",5921,2133,0.585585585585586,"Doublet","0","0"
"HIP023.3245","SeuratProject",6157,2117,0.243243243243243,"Singlet","3","3"
"HIP023.3246","SeuratProject",6289,2115,0.36036036036036,"Singlet","2","2"
"HIP023.3248","SeuratProject",5520,2145,0.153153153153153,"Singlet","5","5"
"HIP023.3249","SeuratProject",5088,2150,0.216216216216216,"Singlet","3","3"
"HIP023.3250","SeuratProject",5652,2155,0.261261261261261,"Singlet","3","3"
"HIP023.3251","SeuratProject",5160,2175,0.495495495495495,"Doublet","1","1"
"HIP023.3252","SeuratProject",6085,2107,0.279279279279279,"Singlet","3","3"
"HIP023.3253","SeuratProject",6478,2129,0.504504504504504,"Doublet","0","0"
"HIP023.3254","SeuratProject",5436,2156,0.252252252252252,"Singlet","4","4"
"HIP023.3255","SeuratProject",5602,2141,0.603603603603604,"Doublet","6","6"
"HIP023.3258","SeuratProject",5719,2200,0.144144144144144,"Singlet","5","5"
"HIP023.3259","SeuratProject",5437,2168,0.702702702702703,"Doublet","0","0"
"HIP023.3260","SeuratProject",7115,2194,0.27027027027027,"Singlet","9","9"
"HIP023.3261","SeuratProject",5217,2191,0.666666666666667,"Doublet","0","0"
"HIP023.3262","SeuratProject",5786,2182,0.54954954954955,"Doublet","0","0"
"HIP023.3263","SeuratProject",5523,2215,0.207207207207207,"Singlet","3","3"
"HIP023.3264","SeuratProject",6030,2201,0.18018018018018,"Singlet","3","3"
"HIP023.3266","SeuratProject",5703,2221,0.198198198198198,"Singlet","3","3"
"HIP023.3267","SeuratProject",5153,2214,0.378378378378378,"Singlet","1","1"
"HIP023.3269","SeuratProject",6056,2213,0.63963963963964,"Doublet","6","6"
"HIP023.3270","SeuratProject",5739,2181,0.279279279279279,"Singlet","1","1"
"HIP023.3271","SeuratProject",5547,2225,0.297297297297297,"Singlet","3","3"
"HIP023.3272","SeuratProject",7252,2198,0.225225225225225,"Singlet","0","0"
"HIP023.3273","SeuratProject",6375,2201,0.117117117117117,"Singlet","1","1"
"HIP023.3274","SeuratProject",6057,2235,0.216216216216216,"Singlet","3","3"
"HIP023.3275","SeuratProject",5639,2248,0.252252252252252,"Singlet","7","7"
"HIP023.3276","SeuratProject",5888,2234,0.369369369369369,"Singlet","1","1"
"HIP023.3277","SeuratProject",6939,2212,0.18018018018018,"Singlet","4","4"
"HIP023.3278","SeuratProject",6052,2226,0.558558558558559,"Doublet","0","0"
"HIP023.3279","SeuratProject",6617,2226,0.18018018018018,"Singlet","3","3"
"HIP023.3280","SeuratProject",5604,2233,0.144144144144144,"Singlet","8","8"
"HIP023.3281","SeuratProject",5555,2254,0.153153153153153,"Singlet","5","5"
"HIP023.3282","SeuratProject",5715,2268,0.315315315315315,"Singlet","1","1"
"HIP023.3283","SeuratProject",6168,2256,0.351351351351351,"Singlet","1","1"
"HIP023.3284","SeuratProject",5524,2259,0.342342342342342,"Singlet","7","7"
"HIP023.3285","SeuratProject",5743,2262,0.540540540540541,"Doublet","0","0"
"HIP023.3286","SeuratProject",5499,2264,0.666666666666667,"Doublet","0","0"
"HIP023.3287","SeuratProject",5626,2294,0.189189189189189,"Singlet","5","5"
"HIP023.3288","SeuratProject",6056,2277,0.459459459459459,"Singlet","1","1"
"HIP023.3289","SeuratProject",6937,2282,0.162162162162162,"Singlet","3","3"
"HIP023.3290","SeuratProject",6559,2260,0.207207207207207,"Singlet","4","4"
"HIP023.3291","SeuratProject",5384,2275,0.657657657657658,"Doublet","0","0"
"HIP023.3292","SeuratProject",6835,2299,0.234234234234234,"Singlet","3","3"
"HIP023.3293","SeuratProject",5483,2319,0.297297297297297,"Singlet","3","3"
"HIP023.3294","SeuratProject",5806,2262,0.198198198198198,"Singlet","4","4"
"HIP023.3295","SeuratProject",6277,2320,0.18018018018018,"Singlet","3","3"
"HIP023.3296","SeuratProject",5819,2322,0.288288288288288,"Singlet","1","1"
"HIP023.3297","SeuratProject",7551,2340,0.189189189189189,"Singlet","3","3"
"HIP023.3298","SeuratProject",6463,2357,0.279279279279279,"Singlet","11","11"
"HIP023.3299","SeuratProject",6497,2356,0.198198198198198,"Singlet","3","3"
"HIP023.3300","SeuratProject",6564,2339,0.504504504504504,"Doublet","0","0"
"HIP023.3301","SeuratProject",6690,2346,0.216216216216216,"Singlet","3","3"
"HIP023.3302","SeuratProject",7204,2335,0.288288288288288,"Singlet","1","1"
"HIP023.3303","SeuratProject",7508,2345,0.153153153153153,"Singlet","3","3"
"HIP023.3304","SeuratProject",5351,2363,0.648648648648649,"Doublet","0","0"
"HIP023.3305","SeuratProject",6510,2363,0.243243243243243,"Singlet","0","0"
"HIP023.3307","SeuratProject",5964,2369,0.216216216216216,"Singlet","3","3"
"HIP023.3308","SeuratProject",7095,2377,0.594594594594595,"Doublet","0","0"
"HIP023.3309","SeuratProject",6233,2394,0.288288288288288,"Singlet","12","12"
"HIP023.3310","SeuratProject",6667,2379,0.351351351351351,"Singlet","0","0"
"HIP023.3311","SeuratProject",6442,2391,0.27027027027027,"Singlet","3","3"
"HIP023.3312","SeuratProject",5355,2400,0.306306306306306,"Singlet","9","9"
"HIP023.3313","SeuratProject",6567,2426,0.45045045045045,"Singlet","1","1"
"HIP023.3314","SeuratProject",6575,2420,0.288288288288288,"Singlet","7","7"
"HIP023.3315","SeuratProject",6100,2432,0.576576576576577,"Doublet","0","0"
"HIP023.3316","SeuratProject",6256,2448,0.279279279279279,"Singlet","11","11"
"HIP023.3317","SeuratProject",6330,2445,0.72972972972973,"Doublet","0","0"
"HIP023.3319","SeuratProject",7058,2429,0.495495495495495,"Doublet","6","6"
"HIP023.3320","SeuratProject",6424,2458,0.234234234234234,"Singlet","3","3"
"HIP023.3321","SeuratProject",7089,2442,0.486486486486487,"Singlet","0","0"
"HIP023.3322","SeuratProject",6851,2452,0.252252252252252,"Singlet","1","1"
"HIP023.3323","SeuratProject",7071,2443,0.378378378378378,"Singlet","0","0"
"HIP023.3324","SeuratProject",6587,2469,0.261261261261261,"Singlet","0","0"
"HIP023.3325","SeuratProject",6289,2458,0.396396396396396,"Singlet","1","1"
"HIP023.3326","SeuratProject",6534,2482,0.324324324324324,"Singlet","1","1"
"HIP023.3327","SeuratProject",6898,2482,0.198198198198198,"Singlet","3","3"
"HIP023.3328","SeuratProject",6449,2495,0.315315315315315,"Singlet","7","7"
"HIP023.3329","SeuratProject",6638,2468,0.567567567567568,"Doublet","0","0"
"HIP023.3331","SeuratProject",6923,2536,0.225225225225225,"Singlet","11","11"
"HIP023.3332","SeuratProject",6876,2509,0.387387387387387,"Singlet","10","10"
"HIP023.3333","SeuratProject",6915,2509,0.342342342342342,"Singlet","7","7"
"HIP023.3334","SeuratProject",9195,2513,0.468468468468468,"Singlet","6","6"
"HIP023.3335","SeuratProject",7551,2517,0.396396396396396,"Singlet","0","0"
"HIP023.3336","SeuratProject",7663,2516,0.234234234234234,"Singlet","3","3"
"HIP023.3337","SeuratProject",7257,2534,0.306306306306306,"Singlet","3","3"
"HIP023.3338","SeuratProject",7164,2509,0.243243243243243,"Singlet","1","1"
"HIP023.3339","SeuratProject",7248,2553,0.189189189189189,"Singlet","3","3"
"HIP023.3340","SeuratProject",7026,2530,0.324324324324324,"Singlet","1","1"
"HIP023.3341","SeuratProject",7396,2512,0.261261261261261,"Singlet","1","1"
"HIP023.3342","SeuratProject",12224,2560,0.342342342342342,"Singlet","9","9"
"HIP023.3343","SeuratProject",6910,2578,0.252252252252252,"Singlet","3","3"
"HIP023.3344","SeuratProject",6996,2569,0.477477477477477,"Singlet","1","1"
"HIP023.3345","SeuratProject",7997,2572,0.18018018018018,"Singlet","3","3"
"HIP023.3346","SeuratProject",8144,2578,0.189189189189189,"Singlet","3","3"
"HIP023.3347","SeuratProject",6280,2604,0.333333333333333,"Singlet","2","2"
"HIP023.3348","SeuratProject",7084,2615,0.135135135135135,"Singlet","5","5"
"HIP023.3349","SeuratProject",7807,2611,0.225225225225225,"Singlet","3","3"
"HIP023.3350","SeuratProject",7499,2616,0.18018018018018,"Singlet","3","3"
"HIP023.3351","SeuratProject",6987,2599,0.279279279279279,"Singlet","3","3"
"HIP023.3352","SeuratProject",7417,2628,0.207207207207207,"Singlet","3","3"
"HIP023.3354","SeuratProject",7139,2622,0.18018018018018,"Singlet","3","3"
"HIP023.3355","SeuratProject",6788,2645,0.279279279279279,"Singlet","7","7"
"HIP023.3356","SeuratProject",8182,2651,0.261261261261261,"Singlet","7","7"
"HIP023.3357","SeuratProject",6761,2661,0.27027027027027,"Singlet","10","10"
"HIP023.3358","SeuratProject",7292,2640,0.477477477477477,"Singlet","1","1"
"HIP023.3359","SeuratProject",7559,2678,0.189189189189189,"Singlet","3","3"
"HIP023.3361","SeuratProject",8854,2674,0.225225225225225,"Singlet","3","3"
"HIP023.3362","SeuratProject",10601,2674,0.324324324324324,"Singlet","9","9"
"HIP023.3363","SeuratProject",9577,2662,0.189189189189189,"Singlet","3","3"
"HIP023.3364","SeuratProject",7902,2681,0.279279279279279,"Singlet","3","3"
"HIP023.3365","SeuratProject",8516,2695,0.351351351351351,"Singlet","1","1"
"HIP023.3366","SeuratProject",7100,2689,0.288288288288288,"Singlet","3","3"
"HIP023.3367","SeuratProject",6850,2689,0.306306306306306,"Singlet","7","7"
"HIP023.3368","SeuratProject",6703,2662,0.288288288288288,"Singlet","12","12"
"HIP023.3369","SeuratProject",7329,2703,0.252252252252252,"Singlet","3","3"
"HIP023.3370","SeuratProject",8164,2741,0.261261261261261,"Singlet","4","4"
"HIP023.3371","SeuratProject",7351,2739,0.576576576576577,"Doublet","0","0"
"HIP023.3372","SeuratProject",7068,2759,0.630630630630631,"Doublet","0","0"
"HIP023.3373","SeuratProject",7949,2759,0.630630630630631,"Doublet","0","0"
"HIP023.3374","SeuratProject",7969,2785,0.279279279279279,"Singlet","1","1"
"HIP023.3375","SeuratProject",8483,2790,0.171171171171171,"Singlet","3","3"
"HIP023.3376","SeuratProject",9927,2791,0.756756756756757,"Doublet","6","6"
"HIP023.3377","SeuratProject",7953,2798,0.207207207207207,"Singlet","3","3"
"HIP023.3378","SeuratProject",7345,2798,0.288288288288288,"Singlet","3","3"
"HIP023.3380","SeuratProject",9408,2776,0.279279279279279,"Singlet","6","6"
"HIP023.3381","SeuratProject",8250,2806,0.261261261261261,"Singlet","3","3"
"HIP023.3382","SeuratProject",8283,2821,0.315315315315315,"Singlet","11","11"
"HIP023.3383","SeuratProject",9478,2812,0.225225225225225,"Singlet","5","5"
"HIP023.3384","SeuratProject",8965,2798,0.243243243243243,"Singlet","3","3"
"HIP023.3385","SeuratProject",7969,2797,0.702702702702703,"Doublet","0","0"
"HIP023.3386","SeuratProject",8870,2825,0.243243243243243,"Singlet","3","3"
"HIP023.3387","SeuratProject",10475,2823,0.207207207207207,"Singlet","3","3"
"HIP023.3388","SeuratProject",8665,2828,0.756756756756757,"Doublet","6","6"
"HIP023.3389","SeuratProject",8123,2841,0.252252252252252,"Singlet","3","3"
"HIP023.3390","SeuratProject",8663,2851,0.27027027027027,"Singlet","3","3"
"HIP023.3391","SeuratProject",8834,2846,0.189189189189189,"Singlet","5","5"
"HIP023.3392","SeuratProject",8369,2838,0.216216216216216,"Singlet","7","7"
"HIP023.3393","SeuratProject",13086,2866,0.324324324324324,"Singlet","9","9"
"HIP023.3394","SeuratProject",8074,2878,0.315315315315315,"Singlet","7","7"
"HIP023.3397","SeuratProject",8921,2903,0.675675675675676,"Doublet","0","0"
"HIP023.3398","SeuratProject",9089,2899,0.198198198198198,"Singlet","3","3"
"HIP023.3399","SeuratProject",9399,2892,0.576576576576577,"Doublet","6","6"
"HIP023.3400","SeuratProject",8030,2898,0.333333333333333,"Singlet","7","7"
"HIP023.3401","SeuratProject",8257,2928,0.306306306306306,"Singlet","3","3"
"HIP023.3402","SeuratProject",7741,2941,0.378378378378378,"Singlet","9","9"
"HIP023.3404","SeuratProject",11215,2939,0.225225225225225,"Singlet","3","3"
"HIP023.3405","SeuratProject",9082,2976,0.333333333333333,"Singlet","3","3"
"HIP023.3406","SeuratProject",8642,3024,0.351351351351351,"Singlet","10","10"
"HIP023.3407","SeuratProject",10601,3037,0.261261261261261,"Singlet","4","4"
"HIP023.3408","SeuratProject",9012,3069,0.279279279279279,"Singlet","7","7"
"HIP023.3409","SeuratProject",10318,3073,0.279279279279279,"Singlet","3","3"
"HIP023.3410","SeuratProject",10480,3121,0.36036036036036,"Singlet","11","11"
"HIP023.3411","SeuratProject",9680,3130,0.333333333333333,"Singlet","11","11"
"HIP023.3413","SeuratProject",10644,3134,0.225225225225225,"Singlet","3","3"
"HIP023.3414","SeuratProject",9941,3161,0.297297297297297,"Singlet","3","3"
"HIP023.3415","SeuratProject",10894,3183,0.216216216216216,"Singlet","3","3"
"HIP023.3416","SeuratProject",9472,3199,0.333333333333333,"Singlet","3","3"
"HIP023.3417","SeuratProject",10549,3201,0.234234234234234,"Singlet","3","3"
"HIP023.3418","SeuratProject",14473,3186,0.378378378378378,"Singlet","3","3"
"HIP023.3419","SeuratProject",9704,3176,0.54954954954955,"Doublet","6","6"
"HIP023.3420","SeuratProject",11167,3206,0.252252252252252,"Singlet","11","11"
"HIP023.3421","SeuratProject",10080,3194,0.261261261261261,"Singlet","3","3"
"HIP023.3422","SeuratProject",13978,3172,0.342342342342342,"Singlet","9","9"
"HIP023.3424","SeuratProject",9667,3250,0.27027027027027,"Singlet","11","11"
"HIP023.3425","SeuratProject",13271,3243,0.288288288288288,"Singlet","9","9"
"HIP023.3426","SeuratProject",12264,3239,0.243243243243243,"Singlet","3","3"
"HIP023.3427","SeuratProject",11479,3295,0.288288288288288,"Singlet","3","3"
"HIP023.3428","SeuratProject",9968,3332,0.45045045045045,"Singlet","9","9"
"HIP023.3430","SeuratProject",11010,3291,0.414414414414414,"Singlet","7","7"
"HIP023.3431","SeuratProject",11946,3394,0.279279279279279,"Singlet","3","3"
"HIP023.3432","SeuratProject",11939,3418,0.243243243243243,"Singlet","3","3"
"HIP023.3433","SeuratProject",13963,3403,0.207207207207207,"Singlet","3","3"
"HIP023.3434","SeuratProject",12915,3463,0.36036036036036,"Singlet","9","9"
"HIP023.3436","SeuratProject",10462,3385,0.351351351351351,"Singlet","7","7"
"HIP023.3437","SeuratProject",11670,3515,0.27027027027027,"Singlet","11","11"
"HIP023.3438","SeuratProject",12634,3573,0.315315315315315,"Singlet","3","3"
"HIP023.3439","SeuratProject",10387,3582,0.297297297297297,"Singlet","11","11"
"HIP023.3440","SeuratProject",12920,3570,0.45045045045045,"Singlet","9","9"
"HIP023.3441","SeuratProject",11705,3600,0.351351351351351,"Singlet","9","9"
"HIP023.3442","SeuratProject",11722,3620,0.405405405405405,"Singlet","7","7"
"HIP023.3443","SeuratProject",13388,3708,0.234234234234234,"Singlet","3","3"
"HIP023.3444","SeuratProject",14979,3712,0.315315315315315,"Singlet","11","11"
"HIP023.3445","SeuratProject",14669,3777,0.225225225225225,"Singlet","3","3"
"HIP023.3446","SeuratProject",14714,3773,0.351351351351351,"Singlet","7","7"
"HIP023.3447","SeuratProject",13514,3903,0.234234234234234,"Singlet","3","3"
"HIP023.3448","SeuratProject",13688,3952,0.414414414414414,"Singlet","9","9"
"HIP043.1","SeuratProject",2132,374,0.153153153153153,"Singlet","9","9"
"HIP043.2","SeuratProject",1000,409,0,"Singlet","0","0"
"HIP043.3","SeuratProject",1161,431,0,"Singlet","1","1"
"HIP043.4","SeuratProject",1165,441,0.027027027027027,"Singlet","4","4"
"HIP043.5","SeuratProject",1038,482,0.0990990990990991,"Singlet","4","4"
"HIP043.6","SeuratProject",1389,486,0.216216216216216,"Singlet","9","9"
"HIP043.7","SeuratProject",1023,486,0.315315315315315,"Singlet","11","11"
"HIP043.8","SeuratProject",1939,489,0.135135135135135,"Singlet","9","9"
"HIP043.10","SeuratProject",1118,497,0,"Singlet","0","0"
"HIP043.11","SeuratProject",1011,508,0.045045045045045,"Singlet","4","4"
"HIP043.12","SeuratProject",1001,503,0,"Singlet","1","1"
"HIP043.13","SeuratProject",1061,507,0,"Singlet","2","2"
"HIP043.15","SeuratProject",1048,513,0.045045045045045,"Singlet","4","4"
"HIP043.16","SeuratProject",1009,528,0.018018018018018,"Singlet","4","4"
"HIP043.18","SeuratProject",1036,522,0.00900900900900901,"Singlet","2","2"
"HIP043.21","SeuratProject",1462,535,0.279279279279279,"Singlet","9","9"
"HIP043.22","SeuratProject",1001,538,0,"Singlet","1","1"
"HIP043.24","SeuratProject",1233,546,0.144144144144144,"Singlet","3","3"
"HIP043.25","SeuratProject",1143,545,0,"Singlet","2","2"
"HIP043.26","SeuratProject",1069,553,0.0810810810810811,"Singlet","4","4"
"HIP043.27","SeuratProject",1046,550,0.00900900900900901,"Singlet","2","2"
"HIP043.31","SeuratProject",1020,551,0.00900900900900901,"Singlet","1","1"
