"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.153","SeuratProject",1006,606,0.189189189189189,"Singlet","5","5"
"HIP002.154","SeuratProject",1020,594,0.00900900900900901,"Singlet","0","0"
"HIP002.155","SeuratProject",1035,570,0.045045045045045,"Singlet","6","6"
"HIP002.156","SeuratProject",1104,598,0.117117117117117,"Singlet","4","4"
"HIP002.157","SeuratProject",1235,591,0.0720720720720721,"Singlet","0","0"
"HIP002.158","SeuratProject",1148,593,0.108108108108108,"Singlet","3","3"
"HIP002.160","SeuratProject",1225,603,0.027027027027027,"Singlet","4","4"
"HIP002.161","SeuratProject",1205,599,0.00900900900900901,"Singlet","0","0"
"HIP002.162","SeuratProject",1493,593,0,"Singlet","2","2"
"HIP002.163","SeuratProject",1012,589,0.135135135135135,"Singlet","3","3"
"HIP002.164","SeuratProject",1107,591,0.00900900900900901,"Singlet","2","2"
"HIP002.165","SeuratProject",1124,583,0.198198198198198,"Singlet","2","2"
"HIP002.166","SeuratProject",1202,598,0.0900900900900901,"Singlet","1","1"
"HIP002.167","SeuratProject",1271,591,0.0540540540540541,"Singlet","4","4"
"HIP002.170","SeuratProject",1076,595,0.00900900900900901,"Singlet","2","2"
"HIP002.171","SeuratProject",1008,595,0.036036036036036,"Singlet","0","0"
"HIP002.172","SeuratProject",1062,598,0.036036036036036,"Singlet","4","4"
"HIP002.173","SeuratProject",1080,602,0,"Singlet","2","2"
"HIP002.174","SeuratProject",1189,610,0.0540540540540541,"Singlet","0","0"
"HIP002.175","SeuratProject",1043,599,0.027027027027027,"Singlet","4","4"
"HIP002.176","SeuratProject",1147,598,0.00900900900900901,"Singlet","2","2"
"HIP002.177","SeuratProject",1005,603,0.036036036036036,"Singlet","2","2"
"HIP002.178","SeuratProject",1017,607,0.207207207207207,"Singlet","3","3"
"HIP002.179","SeuratProject",1047,582,0.00900900900900901,"Singlet","2","2"
"HIP002.180","SeuratProject",1447,590,0.0540540540540541,"Singlet","4","4"
"HIP002.181","SeuratProject",1063,615,0.171171171171171,"Singlet","3","3"
"HIP002.182","SeuratProject",1127,597,0.00900900900900901,"Singlet","0","0"
"HIP002.183","SeuratProject",1075,608,0.027027027027027,"Singlet","8","8"
"HIP002.184","SeuratProject",1080,608,0,"Singlet","1","1"
"HIP002.185","SeuratProject",1105,597,0,"Singlet","2","2"
"HIP002.186","SeuratProject",1173,601,0.00900900900900901,"Singlet","2","2"
"HIP002.187","SeuratProject",1037,610,0.126126126126126,"Singlet","4","4"
"HIP002.188","SeuratProject",1031,602,0.135135135135135,"Singlet","2","2"
"HIP002.189","SeuratProject",1070,603,0,"Singlet","0","0"
"HIP002.190","SeuratProject",1142,605,0.018018018018018,"Singlet","2","2"
"HIP002.191","SeuratProject",1179,612,0,"Singlet","1","1"
"HIP002.192","SeuratProject",1006,602,0.00900900900900901,"Singlet","2","2"
"HIP002.193","SeuratProject",1091,607,0.018018018018018,"Singlet","2","2"
"HIP002.194","SeuratProject",1100,609,0.207207207207207,"Singlet","3","3"
"HIP002.195","SeuratProject",1122,604,0,"Singlet","2","2"
"HIP002.196","SeuratProject",1159,596,0,"Singlet","2","2"
"HIP002.197","SeuratProject",1019,608,0.027027027027027,"Singlet","1","1"
"HIP002.198","SeuratProject",1035,610,0.171171171171171,"Singlet","14","14"
"HIP002.199","SeuratProject",1009,558,0.0540540540540541,"Singlet","0","0"
"HIP002.200","SeuratProject",1049,595,0.00900900900900901,"Singlet","2","2"
"HIP002.201","SeuratProject",1197,605,0.225225225225225,"Singlet","1","1"
"HIP002.202","SeuratProject",1221,615,0.135135135135135,"Singlet","0","0"
"HIP002.203","SeuratProject",1025,599,0,"Singlet","0","0"
"HIP002.204","SeuratProject",1102,609,0.018018018018018,"Singlet","2","2"
"HIP002.206","SeuratProject",1033,614,0.027027027027027,"Singlet","2","2"
"HIP002.207","SeuratProject",1047,619,0.018018018018018,"Singlet","2","2"
"HIP002.208","SeuratProject",1030,602,0.00900900900900901,"Singlet","2","2"
"HIP002.209","SeuratProject",1181,608,0.018018018018018,"Singlet","0","0"
"HIP002.210","SeuratProject",1287,607,0.0540540540540541,"Singlet","2","2"
"HIP002.211","SeuratProject",1023,617,0.18018018018018,"Singlet","3","3"
"HIP002.213","SeuratProject",1050,615,0.315315315315315,"Singlet","0","0"
"HIP002.214","SeuratProject",1055,610,0.045045045045045,"Singlet","4","4"
"HIP002.215","SeuratProject",1245,607,0.036036036036036,"Singlet","2","2"
"HIP002.216","SeuratProject",1048,607,0.171171171171171,"Singlet","5","5"
"HIP002.217","SeuratProject",1070,620,0.00900900900900901,"Singlet","2","2"
"HIP002.218","SeuratProject",1109,612,0.18018018018018,"Singlet","2","2"
"HIP002.219","SeuratProject",1186,617,0,"Singlet","2","2"
"HIP002.220","SeuratProject",1223,622,0.135135135135135,"Singlet","3","3"
"HIP002.222","SeuratProject",1119,615,0.27027027027027,"Singlet","2","2"
"HIP002.223","SeuratProject",1168,618,0.216216216216216,"Singlet","13","13"
"HIP002.224","SeuratProject",1231,620,0.261261261261261,"Singlet","13","13"
"HIP002.225","SeuratProject",1261,613,0.153153153153153,"Singlet","3","3"
"HIP002.226","SeuratProject",1182,611,0.117117117117117,"Singlet","3","3"
"HIP002.227","SeuratProject",1073,626,0.018018018018018,"Singlet","2","2"
"HIP002.228","SeuratProject",1016,624,0.018018018018018,"Singlet","0","0"
"HIP002.229","SeuratProject",1046,590,0.171171171171171,"Singlet","7","7"
"HIP002.230","SeuratProject",1207,604,0.0720720720720721,"Singlet","2","2"
"HIP002.231","SeuratProject",1492,613,0.00900900900900901,"Singlet","2","2"
"HIP002.232","SeuratProject",1031,625,0.00900900900900901,"Singlet","0","0"
"HIP002.233","SeuratProject",1115,610,0.225225225225225,"Singlet","2","2"
"HIP002.234","SeuratProject",1169,630,0.00900900900900901,"Singlet","2","2"
"HIP002.235","SeuratProject",1179,608,0.018018018018018,"Singlet","2","2"
"HIP002.236","SeuratProject",1155,619,0.036036036036036,"Singlet","4","4"
"HIP002.237","SeuratProject",1033,622,0,"Singlet","1","1"
"HIP002.238","SeuratProject",1268,618,0.108108108108108,"Singlet","4","4"
"HIP002.241","SeuratProject",1308,632,0.108108108108108,"Singlet","3","3"
"HIP002.242","SeuratProject",1298,619,0.027027027027027,"Singlet","4","4"
"HIP002.243","SeuratProject",1082,629,0.288288288288288,"Singlet","7","7"
"HIP002.244","SeuratProject",1027,635,0.153153153153153,"Singlet","5","5"
"HIP002.245","SeuratProject",1015,623,0.018018018018018,"Singlet","2","2"
"HIP002.246","SeuratProject",1024,629,0.00900900900900901,"Singlet","0","0"
"HIP002.249","SeuratProject",1085,635,0.0900900900900901,"Singlet","3","3"
"HIP002.250","SeuratProject",1166,637,0.306306306306306,"Singlet","3","3"
"HIP002.252","SeuratProject",1090,624,0,"Singlet","2","2"
"HIP002.253","SeuratProject",1107,631,0.027027027027027,"Singlet","2","2"
"HIP002.255","SeuratProject",1069,616,0,"Singlet","1","1"
"HIP002.256","SeuratProject",1124,633,0.018018018018018,"Singlet","2","2"
"HIP002.257","SeuratProject",1013,645,0.027027027027027,"Singlet","2","2"
"HIP002.258","SeuratProject",1128,636,0.117117117117117,"Singlet","4","4"
"HIP002.261","SeuratProject",1028,624,0,"Singlet","8","8"
"HIP002.263","SeuratProject",1058,635,0.027027027027027,"Singlet","2","2"
"HIP002.264","SeuratProject",1238,639,0.171171171171171,"Singlet","3","3"
"HIP002.265","SeuratProject",1617,633,0.00900900900900901,"Singlet","2","2"
"HIP002.266","SeuratProject",1083,635,0.00900900900900901,"Singlet","2","2"
"HIP002.267","SeuratProject",1197,625,0.018018018018018,"Singlet","0","0"
"HIP002.268","SeuratProject",1239,621,0.027027027027027,"Singlet","2","2"
"HIP002.269","SeuratProject",1066,640,0,"Singlet","0","0"
"HIP002.270","SeuratProject",1163,640,0.00900900900900901,"Singlet","2","2"
"HIP002.271","SeuratProject",1423,617,0.333333333333333,"Singlet","11","11"
"HIP002.273","SeuratProject",1005,634,0,"Singlet","2","2"
"HIP002.274","SeuratProject",1151,641,0.00900900900900901,"Singlet","2","2"
"HIP002.275","SeuratProject",1231,639,0.018018018018018,"Singlet","4","4"
"HIP002.276","SeuratProject",1222,616,0,"Singlet","2","2"
"HIP002.277","SeuratProject",1500,624,0,"Singlet","1","1"
"HIP002.278","SeuratProject",1676,630,0.0540540540540541,"Singlet","4","4"
"HIP002.279","SeuratProject",1070,647,0.315315315315315,"Singlet","13","13"
"HIP002.280","SeuratProject",1061,638,0.00900900900900901,"Singlet","2","2"
"HIP002.281","SeuratProject",1066,637,0.027027027027027,"Singlet","2","2"
"HIP002.282","SeuratProject",1063,630,0.189189189189189,"Singlet","11","11"
"HIP002.283","SeuratProject",1256,645,0.00900900900900901,"Singlet","0","0"
"HIP002.284","SeuratProject",1062,634,0,"Singlet","2","2"
"HIP002.285","SeuratProject",1109,643,0,"Singlet","2","2"
"HIP002.286","SeuratProject",1169,626,0,"Singlet","2","2"
"HIP002.288","SeuratProject",1056,643,0,"Singlet","2","2"
"HIP002.289","SeuratProject",1051,635,0.00900900900900901,"Singlet","2","2"
"HIP002.290","SeuratProject",1188,642,0,"Singlet","2","2"
"HIP002.291","SeuratProject",1313,636,0.027027027027027,"Singlet","1","1"
"HIP002.292","SeuratProject",1069,628,0.018018018018018,"Singlet","0","0"
"HIP002.293","SeuratProject",1095,644,0.027027027027027,"Singlet","0","0"
"HIP002.294","SeuratProject",1185,647,0.018018018018018,"Singlet","1","1"
"HIP002.295","SeuratProject",1238,639,0.279279279279279,"Singlet","13","13"
"HIP002.296","SeuratProject",1388,633,0.027027027027027,"Singlet","4","4"
"HIP002.297","SeuratProject",1010,648,0.324324324324324,"Singlet","12","12"
"HIP002.298","SeuratProject",1119,646,0.018018018018018,"Singlet","2","2"
"HIP002.299","SeuratProject",1239,649,0.00900900900900901,"Singlet","2","2"
"HIP002.300","SeuratProject",1253,646,0.00900900900900901,"Singlet","4","4"
"HIP002.301","SeuratProject",1037,629,0.18018018018018,"Singlet","0","0"
"HIP002.302","SeuratProject",1047,615,0.0810810810810811,"Singlet","4","4"
"HIP002.303","SeuratProject",1126,636,0.126126126126126,"Singlet","3","3"
"HIP002.305","SeuratProject",1199,629,0,"Singlet","2","2"
"HIP002.306","SeuratProject",1085,641,0,"Singlet","1","1"
"HIP002.307","SeuratProject",1093,649,0.027027027027027,"Singlet","0","0"
"HIP002.308","SeuratProject",1177,642,0.00900900900900901,"Singlet","4","4"
"HIP002.310","SeuratProject",1046,655,0.171171171171171,"Singlet","7","7"
"HIP002.312","SeuratProject",1263,629,0.00900900900900901,"Singlet","1","1"
"HIP002.313","SeuratProject",1113,650,0.162162162162162,"Singlet","7","7"
"HIP002.314","SeuratProject",1291,653,0.243243243243243,"Singlet","7","7"
"HIP002.315","SeuratProject",1355,644,0.036036036036036,"Singlet","2","2"
"HIP002.316","SeuratProject",1370,646,0.162162162162162,"Singlet","2","2"
"HIP002.317","SeuratProject",1046,653,0.00900900900900901,"Singlet","2","2"
"HIP002.318","SeuratProject",1049,659,0.0720720720720721,"Singlet","3","3"
"HIP002.319","SeuratProject",1095,650,0.027027027027027,"Singlet","0","0"
"HIP002.321","SeuratProject",1009,653,0.0630630630630631,"Singlet","4","4"
"HIP002.322","SeuratProject",1035,644,0,"Singlet","2","2"
"HIP002.323","SeuratProject",1145,652,0.0630630630630631,"Singlet","2","2"
"HIP002.324","SeuratProject",1043,653,0,"Singlet","2","2"
"HIP002.325","SeuratProject",1126,648,0.171171171171171,"Singlet","3","3"
"HIP002.326","SeuratProject",1790,638,0.018018018018018,"Singlet","1","1"
"HIP002.327","SeuratProject",1196,661,0.243243243243243,"Singlet","7","7"
"HIP002.328","SeuratProject",1245,652,0,"Singlet","6","6"
"HIP002.329","SeuratProject",1246,641,0,"Singlet","2","2"
