"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDC42SE2",6.11437679521611e-19,0.562009119055281,0.511,0.288,1.61181086698692e-14
"PRDM1",7.95201235711407e-19,0.436710375665113,0.131,0.028,2.09622997745884e-14
"GPRIN3",8.65592077779917e-19,0.577126713323745,0.187,0.057,2.28178727623564e-14
"TSPO",2.06323787336521e-18,-0.616409885524757,0.642,0.768,5.43890135797803e-14
"OAZ1",3.51788867869007e-18,-0.413373820565511,0.894,0.948,9.27350634589488e-14
"NCF2",3.74437931582726e-18,-0.494739010772522,0.779,0.868,9.87055831445223e-14
"CALM1",4.22859814503298e-18,0.594231410712663,0.793,0.642,1.11470075701214e-13
"BTN3A2",5.098020907958e-18,0.614890638547697,0.477,0.266,1.34388929154681e-13
"JADE2",5.52321767135037e-18,0.476084827879092,0.236,0.087,1.45597541034467e-13
"CNOT6L",5.61995386473927e-18,0.582728245825805,0.412,0.217,1.48147603828392e-13
"GRN",6.98852733955697e-18,-0.508464522016645,0.779,0.868,1.84224569198061e-13
"PIP4K2A",2.73444617234279e-17,0.564411409919195,0.538,0.328,7.20827355491283e-13
"BIN1",3.07128072786555e-17,0.388501005364248,0.173,0.052,8.09620312672637e-13
"ZNF91",8.48282406822086e-17,0.511161294494032,0.23,0.087,2.2361572526237e-12
"SEPT6",8.79947264072203e-17,0.540521498146169,0.385,0.195,2.31962898282074e-12
"DGKA",1.06841673888561e-16,0.551165577299982,0.259,0.107,2.81645336537637e-12
"TBC1D10C",1.12913753924548e-16,0.565411587968015,0.32,0.149,2.976519467205e-12
"RBL2",1.23834277851989e-16,0.615394678054785,0.509,0.31,3.26439539845627e-12
"TSPYL2",1.26678453730948e-16,0.429345994145913,0.142,0.038,3.33937071880151e-12
"BANK1",1.34102065127192e-16,0.504709269346754,0.106,0.021,3.53506453881792e-12
"PLAC8",1.94302827162902e-16,0.554895058714036,0.383,0.199,5.12201682684126e-12
"ST6GAL1",3.4738262981739e-16,0.414071094805185,0.241,0.096,9.15735350461621e-12
"BTN3A1",4.1523320199412e-16,0.48577322778439,0.419,0.222,1.0945962437767e-11
"SFI1",4.37874150474456e-16,0.354390327667965,0.153,0.044,1.15428004806571e-11
"CCDC88C",4.85353276564541e-16,0.463041074301922,0.457,0.252,1.27943977235179e-11
"VPS13A",9.18556307778119e-16,0.349061579662835,0.155,0.046,2.4214062829339e-11
"PKM",1.04432919685141e-15,-0.536442970528995,0.676,0.766,2.75295619582001e-11
"EPB41",1.62575167829757e-15,0.48176630294773,0.464,0.267,4.28564399916022e-11
"RPL13A",1.7891426014545e-15,0.392465290407149,0.937,0.902,4.7163588116942e-11
"TSTD1",1.99583420408421e-15,0.349479558449928,0.113,0.026,5.26121854538639e-11
"CDK17",2.43322966573453e-15,0.341229728862794,0.128,0.034,6.41423672184279e-11
"RAB7L1",2.7230294912494e-15,0.480017491036247,0.282,0.127,7.17817804188255e-11
"DYRK2",2.89182101659398e-15,0.416617173398798,0.234,0.094,7.6231293818434e-11
"ARAP2",4.57035238518752e-15,0.510784836346151,0.324,0.157,1.20479059225928e-10
"FCGR3B",5.48921175295675e-15,0.452286830152814,0.203,0.074,1.44701111019693e-10
"RPS27A",5.7409232435743e-15,0.445604369971554,0.836,0.696,1.51336477623862e-10
"CD14",8.32425660695586e-15,-0.546865968385897,0.682,0.813,2.19435728415963e-10
"COTL1",9.36214866745457e-15,-0.41302079956068,0.82,0.894,2.4679560102277e-10
"GIMAP5",1.04805088879289e-14,0.47239856373641,0.198,0.075,2.76276694794695e-10
"RASAL3",1.14364959448182e-14,0.418879818360425,0.255,0.111,3.01477469601353e-10
"LITAF",1.18232907822453e-14,0.489220838648349,0.491,0.294,3.11673768310769e-10
"ZBTB38",1.33033163066075e-14,0.407067261812369,0.25,0.106,3.5068872115848e-10
"ATP2A3",1.43894887248888e-14,0.306837855672508,0.16,0.051,3.79321312276793e-10
"TNFAIP2",1.53256584363731e-14,-0.501471207782946,0.707,0.784,4.03999682041231e-10
"SPATA13",1.66605489159317e-14,0.499868666885819,0.284,0.132,4.39188729972876e-10
"RPS19",1.70197359672809e-14,0.413914164287417,0.903,0.795,4.48657259833493e-10
