"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP023.3234","SeuratProject",5531,2065,"H3","CD14 Monocyte","3","3",-0.0757072351824706,-0.0941697270530588,"G1","3",1944,1012,"3"
"HIP023.3240","SeuratProject",5815,2137,"H3","CD14 Monocyte","3","1",0.062093759474342,-0.115162994049628,"S","3",1979,999,"1"
"HIP023.3245","SeuratProject",6157,2117,"H3","CD14 Monocyte","3","1",-0.045496142764471,-0.0907241409830456,"G1","3",1916,906,"1"
"HIP023.3248","SeuratProject",5520,2145,"H3","CD16 Monocyte","5","8",-0.024133013536357,-0.117640563791022,"G1","5",1966,1093,"8"
"HIP023.3249","SeuratProject",5088,2150,"H3","CD14 Monocyte","3","3",0.039540755111378,0.00715760588220565,"S","3",2085,1245,"3"
"HIP023.3250","SeuratProject",5652,2155,"H3","CD14 Monocyte","3","3",0.0214060658335054,-0.0874836720879025,"S","3",1944,1018,"3"
"HIP023.3252","SeuratProject",6085,2107,"H3","DC","3","13",-0.0548842108640317,-0.161469350171872,"G1","3",1942,935,"13"
"HIP023.3258","SeuratProject",5719,2200,"H3","CD16 Monocyte","5","4",0.0171111431097503,-0.00425408101125443,"S","5",1913,1007,"4"
"HIP023.3263","SeuratProject",5523,2215,"H3","CD14 Monocyte","3","16",-0.0292392366735384,-0.0575886992596995,"G1","3",1923,1079,"16"
"HIP023.3264","SeuratProject",6030,2201,"H3","CD14 Monocyte","3","1",-0.0312618523688527,-0.0215384530350034,"G1","3",1909,963,"1"
"HIP023.3266","SeuratProject",5703,2221,"H3","CD14 Monocyte","3","1",0.01204784904256,0.00573400706074617,"S","3",1907,995,"1"
"HIP023.3271","SeuratProject",5547,2225,"H3","CD14 Monocyte","3","3",-0.0156328698259426,-0.0581092162353453,"G1","3",1878,1028,"3"
"HIP023.3274","SeuratProject",6057,2235,"H3","CD14 Monocyte","3","1",-0.0472015792289406,-0.0936572461475556,"G1","3",1893,927,"1"
"HIP023.3275","SeuratProject",5639,2248,"H3","CD14 Monocyte","7","1",0.0698598688200378,-0.0138195561234298,"S","7",1937,1077,"1"
"HIP023.3279","SeuratProject",6617,2226,"H3","CD14 Monocyte","3","1",-0.0686959154643366,-0.0658117608497738,"G1","3",1961,931,"1"
"HIP023.3281","SeuratProject",5555,2254,"H3","CD16 Monocyte","5","19",-0.0228381154208019,-0.0355280821675604,"G1","5",1971,1140,"19"
"HIP023.3284","SeuratProject",5524,2259,"H3","CD14 Monocyte","7","3",0.0112389404473733,-0.0734412066061384,"S","7",1870,1003,"3"
"HIP023.3287","SeuratProject",5626,2294,"H3","CD16 Monocyte","5","19",-0.0842962599370321,-0.115983660717483,"G1","5",1939,1100,"19"
"HIP023.3289","SeuratProject",6937,2282,"H3","CD14 Monocyte","3","1",-0.0730092497534459,-0.0741425743385068,"G1","3",1958,925,"1"
"HIP023.3292","SeuratProject",6835,2299,"H3","CD14 Monocyte","3","3",-0.0532040086740274,-0.0580237758012127,"G1","3",1923,941,"3"
"HIP023.3293","SeuratProject",5483,2319,"H3","CD14 Monocyte","3","3",-0.0410477598517642,-0.0172596523523989,"G1","3",1923,1120,"3"
"HIP023.3295","SeuratProject",6277,2320,"H3","CD14 Monocyte","3","1",-0.00408893356873968,-0.0675866351252866,"G1","3",1921,983,"1"
"HIP023.3297","SeuratProject",7551,2340,"H3","CD14 Monocyte","3","3",-0.0185712497140054,-0.111299477876828,"G1","3",1975,945,"3"
"HIP023.3298","SeuratProject",6463,2357,"H3","DC","11","15",-0.0322283981320527,-0.0301753773704545,"G1","11",1931,992,"15"
"HIP023.3299","SeuratProject",6497,2356,"H3","CD14 Monocyte","3","1",-0.0771211126201257,0.0121989665527351,"G2M","3",1958,992,"1"
"HIP023.3301","SeuratProject",6690,2346,"H3","CD14 Monocyte","3","3",-0.00991811941103657,-0.0676863848639129,"G1","3",1967,991,"3"
"HIP023.3303","SeuratProject",7508,2345,"H3","CD14 Monocyte","3","9",-0.0168167974680587,-0.0932459921119791,"G1","3",2028,1009,"9"
"HIP023.3307","SeuratProject",5964,2369,"H3","CD14 Monocyte","3","1",-0.0578274178204679,-0.119010544892068,"G1","3",1965,1092,"1"
"HIP023.3311","SeuratProject",6442,2391,"H3","CD14 Monocyte","3","16",-0.0199873487640933,-0.118522380552485,"G1","3",1963,1008,"16"
"HIP023.3314","SeuratProject",6575,2420,"H3","CD14 Monocyte","7","3",-0.0616503173229456,-0.0774914328911107,"G1","7",1901,944,"3"
"HIP023.3316","SeuratProject",6256,2448,"H3","DC","11","21",-0.0197340249096214,-0.0594946848914198,"G1","11",1880,1016,"21"
"HIP023.3320","SeuratProject",6424,2458,"H3","CD14 Monocyte","3","3",-0.0834301251986744,-0.030126578365846,"G1","3",1916,1019,"3"
"HIP023.3327","SeuratProject",6898,2482,"H3","CD14 Monocyte","3","1",-0.0802769106233012,0.0268649909892223,"G2M","3",2060,1107,"1"
"HIP023.3328","SeuratProject",6449,2495,"H3","CD14 Monocyte","7","3",-0.0819003876287206,-0.13280150349841,"G1","7",1861,960,"3"
"HIP023.3331","SeuratProject",6923,2536,"H3","DC","11","21",0.0129457775970261,-0.096927366044697,"S","11",1989,1112,"21"
"HIP023.3332","SeuratProject",6876,2509,"H3","CD16 Monocyte","10","8",-0.0862563366389859,-0.0458760099032002,"G1","10",1889,990,"8"
"HIP023.3333","SeuratProject",6915,2509,"H3","CD14 Monocyte","7","3",0.0214735982012746,-0.0923357212268241,"S","7",1931,1026,"3"
"HIP023.3336","SeuratProject",7663,2516,"H3","CD14 Monocyte","3","3",-0.0907483881478436,-0.103778744009999,"G1","3",2049,1070,"3"
"HIP023.3337","SeuratProject",7257,2534,"H3","CD14 Monocyte","3","3",-0.0469345764931343,-0.0693436892994845,"G1","3",2062,1124,"3"
"HIP023.3339","SeuratProject",7248,2553,"H3","CD14 Monocyte","3","1",-0.102800876757991,-0.106786010902895,"G1","3",2042,1122,"1"
"HIP023.3343","SeuratProject",6910,2578,"H3","CD14 Monocyte","3","11",-0.0758905574880865,-0.041521630761525,"G1","3",1969,1053,"11"
"HIP023.3345","SeuratProject",7997,2572,"H3","CD14 Monocyte","3","1",0.0140741737309373,-0.0610846407024483,"S","3",2089,1126,"1"
"HIP023.3346","SeuratProject",8144,2578,"H3","CD14 Monocyte","3","1",0.0270904680472975,-0.0205064339584796,"S","3",2107,1120,"1"
"HIP023.3348","SeuratProject",7084,2615,"H3","CD16 Monocyte","5","4",0.0093292530502028,0.0126696851021841,"G2M","5",2096,1213,"4"
"HIP023.3349","SeuratProject",7807,2611,"H3","CD14 Monocyte","3","3",-0.0291586234321619,-0.0631398097244313,"G1","3",2040,1069,"3"
"HIP023.3350","SeuratProject",7499,2616,"H3","CD14 Monocyte","3","1",-0.0498217631234633,-0.0377102594321056,"G1","3",2043,1073,"1"
"HIP023.3351","SeuratProject",6987,2599,"H3","CD14 Monocyte","3","1",-0.0751809618029564,-0.0863800054767124,"G1","3",2021,1132,"1"
"HIP023.3352","SeuratProject",7417,2628,"H3","CD14 Monocyte","3","1",-0.074511761928831,-0.0854290206078814,"G1","3",2052,1133,"1"
"HIP023.3354","SeuratProject",7139,2622,"H3","CD14 Monocyte","3","3",-0.0770964278730966,-0.0583134180875217,"G1","3",2039,1162,"3"
"HIP023.3355","SeuratProject",6788,2645,"H3","CD14 Monocyte","7","3",-0.031286010420284,-0.0767267771150584,"G1","7",1916,1076,"3"
"HIP023.3356","SeuratProject",8182,2651,"H3","CD14 Monocyte","7","1",0.00685241920832988,-0.0365302786165959,"S","7",2079,1129,"1"
"HIP023.3357","SeuratProject",6761,2661,"H3","CD16 Monocyte","10","4",0.00639699573408437,-0.099980375175839,"S","10",1934,1076,"4"
"HIP023.3359","SeuratProject",7559,2678,"H3","CD14 Monocyte","3","1",-0.0164527988941624,-0.108210583855573,"G1","3",2114,1190,"1"
"HIP023.3361","SeuratProject",8854,2674,"H3","CD14 Monocyte","3","1",-0.00130646312524839,-0.085165734515387,"G1","3",2152,1120,"1"
"HIP023.3363","SeuratProject",9577,2662,"H3","CD14 Monocyte","3","1",-0.066852725346826,-0.10724902895481,"G1","3",2144,1064,"1"
"HIP023.3364","SeuratProject",7902,2681,"H3","CD14 Monocyte","3","3",-0.0540413185642783,-0.140849657771291,"G1","3",2104,1166,"3"
"HIP023.3366","SeuratProject",7100,2689,"H3","CD14 Monocyte","3","3",-0.0875572283325727,-0.0639833190798421,"G1","3",1988,1134,"3"
"HIP023.3367","SeuratProject",6850,2689,"H3","CD14 Monocyte","7","3",-0.0341620345008284,-0.0505523148206101,"G1","7",1951,1129,"3"
"HIP023.3369","SeuratProject",7329,2703,"H3","CD14 Monocyte","3","1",-0.0699258836428458,-0.0187276908837334,"G1","3",2045,1152,"1"
"HIP023.3375","SeuratProject",8483,2790,"H3","CD14 Monocyte","3","1",-0.0169804271435514,-0.0164043892212121,"G1","3",2127,1179,"1"
"HIP023.3377","SeuratProject",7953,2798,"H3","CD14 Monocyte","3","3",-0.0613893378756955,-0.0500188005762104,"G1","3",2081,1168,"3"
"HIP023.3378","SeuratProject",7345,2798,"H3","CD14 Monocyte","3","3",-0.000318609856663779,-0.123411496543807,"G1","3",2039,1228,"3"
"HIP023.3381","SeuratProject",8250,2806,"H3","CD14 Monocyte","3","1",-0.0389697967130009,-0.0970550321143668,"G1","3",2160,1218,"1"
"HIP023.3382","SeuratProject",8283,2821,"H3","DC","11","21",-0.0143147263114355,-0.124269278694495,"G1","11",2125,1219,"21"
"HIP023.3383","SeuratProject",9478,2812,"H3","CD16 Monocyte","5","19",-0.0429153375195965,-0.125370461947114,"G1","5",2151,1130,"19"
"HIP023.3384","SeuratProject",8965,2798,"H3","CD14 Monocyte","3","3",-0.0432179645938798,-0.097319431539014,"G1","3",2201,1219,"3"
"HIP023.3386","SeuratProject",8870,2825,"H3","CD14 Monocyte","3","1",-0.07224802882201,-0.0491090411666716,"G1","3",2227,1252,"1"
"HIP023.3387","SeuratProject",10475,2823,"H3","CD14 Monocyte","3","1",0.00315091356186611,-0.0452577303207767,"S","3",2177,1123,"1"
"HIP023.3388","SeuratProject",8665,2828,"H3","DC","6","21",-0.0833390755076909,-0.00724662390442099,"G1","6",2105,1234,"21"
"HIP023.3389","SeuratProject",8123,2841,"H3","CD14 Monocyte","3","1",-0.0770210444466843,-0.0204299516878015,"G1","3",2121,1236,"1"
"HIP023.3390","SeuratProject",8663,2851,"H3","CD14 Monocyte","3","3",0.0276245654719623,-0.0838049555396138,"S","3",2050,1104,"3"
"HIP023.3391","SeuratProject",8834,2846,"H3","CD16 Monocyte","5","19",0.0123133721727992,-0.092856944905124,"S","5",2183,1230,"19"
"HIP023.3392","SeuratProject",8369,2838,"H3","CD14 Monocyte","7","1",0.11291315784111,-0.00831743756252687,"S","7",2025,1086,"1"
"HIP023.3394","SeuratProject",8074,2878,"H3","CD14 Monocyte","7","1",-0.0906986516692263,-0.0495516705156906,"G1","7",2089,1167,"1"
"HIP023.3398","SeuratProject",9089,2899,"H3","CD14 Monocyte","3","1",-0.0781983131592787,-0.108310864851396,"G1","3",2177,1198,"1"
"HIP023.3400","SeuratProject",8030,2898,"H3","CD14 Monocyte","7","3",0.0260875434933979,-0.0693634399925367,"S","7",2034,1195,"3"
"HIP023.3401","SeuratProject",8257,2928,"H3","CD14 Monocyte","3","3",-0.0719250959714697,-0.00073832448384098,"G1","3",2131,1260,"3"
"HIP023.3404","SeuratProject",11215,2939,"H3","CD14 Monocyte","3","1",-0.0960230321649624,-0.0566387804057805,"G1","3",2123,1049,"1"
"HIP023.3405","SeuratProject",9082,2976,"H3","CD16 Monocyte","3","19",-0.0494574587551461,-0.084187044002314,"G1","3",2177,1222,"19"
"HIP023.3406","SeuratProject",8642,3024,"H3","CD16 Monocyte","10","19",-0.0299353903252,-0.00980370394167315,"G1","10",2090,1249,"19"
"HIP023.3408","SeuratProject",9012,3069,"H3","CD14 Monocyte","7","1",-0.0343701980179423,-0.0798506750475064,"G1","7",2127,1206,"1"
"HIP023.3409","SeuratProject",10318,3073,"H3","CD14 Monocyte","3","3",-0.0696863439892081,-0.0736473053368091,"G1","3",2188,1213,"3"
"HIP023.3410","SeuratProject",10480,3121,"H3","DC","11","21",0.00974339378454403,-0.0516733937722152,"S","11",2074,1111,"21"
"HIP023.3411","SeuratProject",9680,3130,"H3","DC","11","21",0.0210718023259042,-0.0500260237795276,"S","11",2146,1220,"21"
"HIP023.3413","SeuratProject",10644,3134,"H3","CD14 Monocyte","3","3",-0.110072264239891,-0.0871632908731106,"G1","3",2075,1104,"3"
"HIP023.3414","SeuratProject",9941,3161,"H3","CD14 Monocyte","3","3",-0.015630251367293,0.00789412321841232,"G2M","3",2227,1339,"3"
"HIP023.3415","SeuratProject",10894,3183,"H3","CD14 Monocyte","3","1",-0.0770271051880961,-0.0603712326934788,"G1","3",2103,1116,"1"
"HIP023.3416","SeuratProject",9472,3199,"H3","CD14 Monocyte","3","3",-0.0347396650662958,-0.0153055442988828,"G1","3",2181,1309,"3"
"HIP023.3417","SeuratProject",10549,3201,"H3","CD14 Monocyte","3","3",-0.0978345237302504,-0.0714249272883824,"G1","3",2153,1219,"3"
"HIP023.3418","SeuratProject",14473,3186,"H3","CD14 Monocyte","3","3",-0.0445355395555635,-0.0614789555703312,"G1","3",1891,771,"3"
"HIP023.3420","SeuratProject",11167,3206,"H3","DC","11","21",-0.0551180586246837,-0.0593119025201058,"G1","11",2118,1119,"21"
"HIP023.3421","SeuratProject",10080,3194,"H3","CD14 Monocyte","3","1",-0.0728278623851519,-0.0872150203225347,"G1","3",2164,1237,"1"
"HIP023.3424","SeuratProject",9667,3250,"H3","DC","11","21",-0.0195510904656067,-0.119848805492389,"G1","11",2099,1216,"21"
"HIP023.3426","SeuratProject",12264,3239,"H3","CD14 Monocyte","3","1",0.0618104664745168,-0.00680279995480487,"S","3",2110,1077,"1"
"HIP023.3427","SeuratProject",11479,3295,"H3","CD14 Monocyte","3","16",-0.0285391200134,-0.0657413671982151,"G1","3",2084,1114,"16"
"HIP023.3430","SeuratProject",11010,3291,"H3","CD14 Monocyte","7","1",-0.039299741617393,-0.0667698007788086,"G1","7",2074,1178,"1"
"HIP023.3431","SeuratProject",11946,3394,"H3","CD14 Monocyte","3","1",-0.0233791045303564,-0.0539612595976239,"G1","3",2160,1210,"1"
"HIP023.3432","SeuratProject",11939,3418,"H3","CD14 Monocyte","3","1",-0.0330050377670466,-0.124849264688377,"G1","3",2167,1217,"1"
"HIP023.3433","SeuratProject",13963,3403,"H3","CD14 Monocyte","3","1",-0.0569883725407162,-0.0716008978986587,"G1","3",1983,943,"1"
"HIP023.3436","SeuratProject",10462,3385,"H3","CD14 Monocyte","7","1",-0.0611658148130329,-0.0990382782389439,"G1","7",2065,1155,"1"
"HIP023.3437","SeuratProject",11670,3515,"H3","DC","11","21",-0.0549424430273206,-0.118396054508626,"G1","11",2093,1174,"21"
"HIP023.3438","SeuratProject",12634,3573,"H3","DC","3","21",-0.0587807182304914,-0.140395082673299,"G1","3",2085,1150,"21"
"HIP023.3439","SeuratProject",10387,3582,"H3","DC","11","21",-0.00625714668608504,-0.0479245019534182,"G1","11",2059,1244,"21"
"HIP023.3442","SeuratProject",11722,3620,"H3","CD14 Monocyte","7","1",-0.0787766897524275,-0.0810632583316685,"G1","7",2044,1196,"1"
"HIP023.3443","SeuratProject",13388,3708,"H3","CD14 Monocyte","3","3",-0.0203817113546345,-0.0791191663255184,"G1","3",2080,1142,"3"
"HIP023.3444","SeuratProject",14979,3712,"H3","DC","11","21",-0.0108841513135948,-0.117592691794511,"G1","11",1924,893,"21"
"HIP023.3445","SeuratProject",14669,3777,"H3","CD14 Monocyte","3","1",-0.0547707320744676,-0.0493124028966077,"G1","3",2082,1116,"1"
"HIP023.3446","SeuratProject",14714,3773,"H3","CD14 Monocyte","7","1",-0.0227873960423841,0.00179935813898036,"G2M","7",2075,1118,"1"
"HIP023.3447","SeuratProject",13514,3903,"H3","CD14 Monocyte","3","1",-0.029774020404992,-0.095066980484996,"G1","3",2117,1214,"1"
"HIP043.7","SeuratProject",1023,486,"H4","DC","11","21",-0.0440880971907092,0.0206001149393401,"G2M","11",1565,488,"21"
"HIP043.24","SeuratProject",1233,546,"H4","CD14 Monocyte","3","11",-0.0502836673269705,-0.0271395517212359,"G1","3",1612,547,"11"
"HIP043.95","SeuratProject",1059,605,"H4","CD16 Monocyte","5","0",0.0729726134849754,-0.0255377762189919,"S","5",1485,608,"0"
"HIP043.134","SeuratProject",1000,611,"H4","DC","11","5",-0.0474476686325642,-0.0539974391606343,"G1","11",1469,619,"5"
"HIP043.155","SeuratProject",1027,624,"H4","CD14 Monocyte","3","18",-0.0469753286520433,-0.000824384145550569,"G1","3",1442,626,"18"
"HIP043.223","SeuratProject",1283,639,"H4","CD14 Monocyte","3","2",0.0141928662717061,-0.068541672041488,"S","3",1601,639,"2"
"HIP043.232","SeuratProject",1179,630,"H4","CD14 Monocyte","3","12",-0.0521324003415944,7.59000161951601e-05,"G2M","3",1536,630,"12"
"HIP043.397","SeuratProject",1127,659,"H4","CD16 Monocyte","5","12",-0.0561444153092153,-0.0831017789435572,"G1","5",1489,661,"12"
"HIP043.408","SeuratProject",1079,657,"H4","CD14 Monocyte","3","2",-0.0382378345204284,-0.0637153212906192,"G1","3",1453,661,"2"
"HIP043.499","SeuratProject",1046,657,"H4","CD16 Monocyte","5","0",-0.00165460746582542,0.0584719960997684,"G2M","5",1434,660,"0"
"HIP043.565","SeuratProject",1050,684,"H4","CD14 Monocyte","3","16",-0.0545161703841264,-0.0151215759573429,"G1","3",1424,689,"16"
"HIP043.597","SeuratProject",1059,687,"H4","CD16 Monocyte","5","12",-0.00102566689567966,0.0011404707781157,"G2M","5",1435,692,"12"
"HIP043.607","SeuratProject",1057,693,"H4","CD16 Monocyte","5","16",-0.00478491225228896,-0.0945419187688754,"G1","5",1449,695,"16"
"HIP043.619","SeuratProject",1069,690,"H4","CD14 Monocyte","3","3",-0.0447372595708756,-0.107168546594419,"G1","3",1437,693,"3"
"HIP043.707","SeuratProject",1101,707,"H4","CD16 Monocyte","5","0",-0.0518082476165039,-0.0947987469789633,"G1","5",1456,708,"0"
"HIP043.718","SeuratProject",1129,714,"H4","DC","11","12",0.00534092704723875,-0.102942253927958,"S","11",1470,714,"12"
"HIP043.758","SeuratProject",1100,714,"H4","CD16 Monocyte","5","4",-0.00710615775775424,-0.012558061285479,"G1","5",1446,717,"4"
"HIP043.848","SeuratProject",1164,724,"H4","CD14 Monocyte","3","1",-0.0430597228513524,-0.11674847146375,"G1","3",1464,725,"1"
"HIP043.895","SeuratProject",1279,730,"H4","CD14 Monocyte","3","18",-0.0424343555442509,-0.0281010810787344,"G1","3",1538,730,"18"
"HIP043.901","SeuratProject",1152,729,"H4","CD16 Monocyte","5","14",0.0501111743023848,-0.0272079924250988,"S","5",1472,731,"14"
"HIP043.914","SeuratProject",1207,730,"H4","CD14 Monocyte","3","1",0.00626181417417603,-0.0578416490883735,"S","3",1516,730,"1"
"HIP043.1072","SeuratProject",1496,746,"H4","CD16 Monocyte","5","4",0.031031434991294,-0.052277716523737,"S","5",1655,746,"4"
"HIP043.1078","SeuratProject",1340,753,"H4","CD14 Monocyte","3","9",0.0108693385914316,-0.0566613711224877,"S","3",1560,754,"9"
"HIP043.1093","SeuratProject",1343,745,"H4","CD14 Monocyte","3","11",-0.0412547196576484,-0.0905350318328661,"G1","3",1567,745,"11"
"HIP043.1132","SeuratProject",1684,739,"H4","CD14 Monocyte","3","3",-0.0548403983865589,-0.0456358661770827,"G1","3",1751,738,"3"
"HIP043.1192","SeuratProject",1459,752,"H4","CD14 Monocyte","3","3",-0.00104625055921129,-0.0715422424456587,"G1","3",1626,752,"3"
"HIP043.1200","SeuratProject",1237,768,"H4","CD14 Monocyte","7","17",0.0734865694656445,-0.000304064593016518,"S","7",1538,768,"17"
"HIP043.1265","SeuratProject",1304,770,"H4","DC","11","21",-0.0517146216409259,-0.0653317159793842,"G1","11",1546,771,"21"
"HIP043.1272","SeuratProject",1257,777,"H4","CD16 Monocyte","5","12",-0.00308170383790225,-0.104906292852734,"G1","5",1529,777,"12"
"HIP043.1277","SeuratProject",1381,776,"H4","CD14 Monocyte","3","16",-0.00652126165868457,-0.0999263221330834,"G1","3",1583,776,"16"
"HIP043.1292","SeuratProject",1230,776,"H4","CD14 Monocyte","3","1",-0.0697262605910664,-0.00938842621267331,"G1","3",1525,777,"1"
"HIP043.1310","SeuratProject",1535,773,"H4","CD14 Monocyte","3","11",0.0817698528290572,-0.0215843468184209,"S","3",1663,773,"11"
"HIP043.1313","SeuratProject",1690,779,"H4","CD14 Monocyte","3","2",0.0800101983111543,-0.0124369335167799,"S","3",1757,779,"2"
"HIP043.1373","SeuratProject",1447,771,"H4","CD14 Monocyte","3","3",0.0055701466952023,-0.0363797814581927,"S","3",1616,771,"3"
"HIP043.1375","SeuratProject",1341,791,"H4","CD16 Monocyte","5","12",-0.0112048940271968,-0.0171314933926775,"G1","5",1545,791,"12"
"HIP043.1450","SeuratProject",1279,789,"H4","CD16 Monocyte","5","16",0.118109129902982,-0.0295040919668162,"S","5",1528,789,"16"
"HIP043.1487","SeuratProject",1500,800,"H4","CD14 Monocyte","3","1",0.0498531758160681,-0.0160872826278789,"S","3",1639,800,"1"
"HIP043.1499","SeuratProject",1235,801,"H4","CD16 Monocyte","5","8",-0.0644936070349211,-0.0328683161103606,"G1","5",1511,801,"8"
"HIP043.1510","SeuratProject",1287,805,"H4","CD16 Monocyte","5","12",-0.0145985656619387,-0.0441498575532805,"G1","5",1529,805,"12"
"HIP043.1515","SeuratProject",1500,803,"H4","CD14 Monocyte","3","9",-0.0501390803539596,-0.0325731580141419,"G1","3",1638,803,"9"
"HIP043.1520","SeuratProject",1394,810,"H4","CD14 Monocyte","3","2",-0.0109599093144234,-0.0652846568121838,"G1","3",1575,810,"2"
"HIP043.1539","SeuratProject",1629,802,"H4","CD14 Monocyte","3","18",-0.0510026372984632,-0.0966054339751834,"G1","3",1708,802,"18"
"HIP043.1558","SeuratProject",2096,804,"H4","CD14 Monocyte","7","15",-0.00690183711879232,-0.061481839261436,"G1","7",1971,802,"15"
"HIP043.1562","SeuratProject",1317,806,"H4","CD16 Monocyte","5","5",-0.0583025494072254,-0.0229670018575792,"G1","5",1527,805,"5"
"HIP043.1575","SeuratProject",1305,812,"H4","CD16 Monocyte","5","15",-0.0699052280538352,-0.0748256667332237,"G1","5",1514,812,"15"
"HIP043.1586","SeuratProject",1465,810,"H4","CD14 Monocyte","3","1",-0.0170923428064527,0.0529731057646095,"G2M","3",1602,810,"1"
"HIP043.1611","SeuratProject",1317,813,"H4","CD16 Monocyte","5","4",-0.0335917639890678,0.0256109566904354,"G2M","5",1523,813,"4"
"HIP043.1676","SeuratProject",1455,818,"H4","CD14 Monocyte","3","11",-0.0243133162509773,-0.107715574533972,"G1","3",1604,818,"11"
"HIP043.1811","SeuratProject",1387,841,"H4","CD16 Monocyte","5","4",0.037687001652858,-0.028701010253607,"S","5",1552,841,"4"
"HIP043.1862","SeuratProject",1369,844,"H4","CD14 Monocyte","3","17",-0.0651808282188455,-0.114421964136458,"G1","3",1548,843,"17"
"HIP043.1871","SeuratProject",1993,847,"H4","CD14 Monocyte","3","18",0.0246745755798461,-0.0547310053984456,"S","3",1937,846,"18"
"HIP043.1893","SeuratProject",1332,848,"H4","CD16 Monocyte","5","8",-0.0104000724802158,0.0177781497035906,"G2M","5",1514,846,"8"
"HIP043.1920","SeuratProject",1832,834,"H4","CD14 Monocyte","3","11",-0.0638875687625432,-0.0620434158309369,"G1","3",1840,834,"11"
"HIP043.1950","SeuratProject",1596,851,"H4","CD14 Monocyte","3","17",-0.0590222654352156,0.0183754269796119,"G2M","3",1684,849,"17"
"HIP043.1964","SeuratProject",1444,852,"H4","CD14 Monocyte","3","1",-0.00774843627098893,0.00953967274106371,"G2M","3",1589,852,"1"
"HIP043.1970","SeuratProject",1737,859,"H4","CD16 Monocyte","5","0",-0.0108065302194084,-0.0503121804226677,"G1","5",1759,858,"0"
"HIP043.1972","SeuratProject",1357,855,"H4","CD16 Monocyte","5","4",0.0494063449644856,-0.0577131774324853,"S","5",1529,855,"4"
"HIP043.2078","SeuratProject",1300,877,"H4","CD16 Monocyte","10","0",-0.0568820654802534,0.00639790926961509,"G2M","10",1512,877,"0"
"HIP043.2082","SeuratProject",1683,872,"H4","CD16 Monocyte","5","4",-0.0670976723065245,-0.00973775804804428,"G1","5",1737,872,"4"
"HIP043.2091","SeuratProject",1699,859,"H4","CD14 Monocyte","3","2",-0.0158873645754214,-0.0392348164334314,"G1","3",1744,858,"2"
"HIP043.2228","SeuratProject",1539,889,"H4","CD16 Monocyte","5","8",-0.071879782472472,-0.036833279875286,"G1","5",1631,889,"8"
"HIP043.2230","SeuratProject",1805,874,"H4","CD14 Monocyte","3","3",0.0393904638716425,-0.0655293292622612,"S","3",1817,872,"3"
"HIP043.2282","SeuratProject",1523,896,"H4","CD16 Monocyte","5","8",-0.0587816699992364,-0.102015616635961,"G1","5",1623,896,"8"
"HIP043.2311","SeuratProject",1531,906,"H4","CD16 Monocyte","10","8",-0.0765205010409761,-0.0348380246125518,"G1","10",1618,906,"8"
"HIP043.2358","SeuratProject",1657,905,"H4","CD14 Monocyte","3","3",-0.007171003314757,-0.10544532894366,"G1","3",1712,904,"3"
"HIP043.2360","SeuratProject",1680,904,"H4","CD14 Monocyte","3","3",-0.058805650286175,-0.110578179805293,"G1","3",1726,903,"3"
"HIP043.2410","SeuratProject",1375,916,"H4","CD16 Monocyte","5","8",-0.0677841356753109,0.00862953364189406,"G2M","5",1521,916,"8"
"HIP043.2423","SeuratProject",1503,899,"H4","CD16 Monocyte","5","8",-0.0130542469289505,0.0406122533315089,"G2M","5",1611,897,"8"
"HIP043.2435","SeuratProject",1657,918,"H4","CD14 Monocyte","3","2",-0.0189046975686094,-0.040536289513773,"G1","3",1710,918,"2"
"HIP043.2463","SeuratProject",1561,920,"H4","CD16 Monocyte","5","0",-0.0226018651450448,-0.0685755549784845,"G1","5",1648,920,"0"
"HIP043.2502","SeuratProject",1901,928,"H4","CD14 Monocyte","3","13",-0.0615365615352797,-0.082746057072793,"G1","3",1890,927,"13"
"HIP043.2526","SeuratProject",1466,929,"H4","CD14 Monocyte","7","2",-0.0265295380558523,-0.0801802011765077,"G1","7",1583,929,"2"
"HIP043.2551","SeuratProject",1688,940,"H4","CD14 Monocyte","3","18",-0.0783110364797289,-0.00680361820911991,"G1","3",1725,939,"18"
"HIP043.2568","SeuratProject",1822,926,"H4","CD14 Monocyte","3","1",0.000664211866391609,0.0192777976088793,"G2M","3",1829,926,"1"
"HIP043.2631","SeuratProject",1669,944,"H4","CD16 Monocyte","5","12",0.0386128031889361,-0.097779204695747,"S","5",1720,944,"12"
"HIP043.2681","SeuratProject",1689,946,"H4","CD14 Monocyte","3","3",-0.0150709596572753,-0.0711456778482611,"G1","3",1724,946,"3"
"HIP043.2711","SeuratProject",1679,948,"H4","CD16 Monocyte","5","8",-0.0701510175993216,-0.0772707739660114,"G1","5",1725,948,"8"
"HIP043.2724","SeuratProject",1533,957,"H4","CD16 Monocyte","5","5",0.0653679755754589,-0.0352863387842891,"S","5",1620,957,"5"
"HIP043.2738","SeuratProject",1524,960,"H4","CD16 Monocyte","5","12",0.0768613102149502,-0.0587108053314718,"S","5",1605,959,"12"
"HIP043.2751","SeuratProject",1674,963,"H4","CD16 Monocyte","5","4",0.0621169902776202,-0.0725753250354989,"S","5",1711,963,"4"
