"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.150","SeuratProject",1035,594,"H1","CD14 Monocyte","3","12",0.00849566224498769,-0.0392653739218655,"S","3",1471,598,"12"
"HIP002.152","SeuratProject",1013,596,"H1","CD14 Monocyte","7","14",0.0230616301091756,-0.042935209313207,"S","7",1488,598,"14"
"HIP002.153","SeuratProject",1006,606,"H1","CD14 Monocyte","5","0",0.0195021436572777,-0.0278626424934222,"S","5",1482,609,"0"
"HIP002.158","SeuratProject",1148,593,"H1","CD14 Monocyte","3","5",0.0297209498063414,-0.0765972416873414,"S","3",1513,593,"5"
"HIP002.163","SeuratProject",1012,589,"H1","CD14 Monocyte","3","12",-0.0476172306130572,-0.0501611558626982,"G1","3",1493,595,"12"
"HIP002.165","SeuratProject",1124,583,"H1","CD14 Monocyte","2","7",-0.0376481514381857,-0.079215758942654,"G1","2",1497,583,"7"
"HIP002.178","SeuratProject",1017,607,"H1","CD14 Monocyte","3","14",-0.0587749589427809,-0.051096016972562,"G1","3",1487,608,"14"
"HIP002.181","SeuratProject",1063,615,"H1","CD14 Monocyte","3","17",0.0693279965339988,-0.0376512385107315,"S","3",1484,616,"17"
"HIP002.188","SeuratProject",1031,602,"H1","CD14 Monocyte","2","6",-0.0607386604777493,0.0175721178529217,"G2M","2",1462,602,"6"
"HIP002.194","SeuratProject",1100,609,"H1","CD14 Monocyte","3","14",-0.0477348118847605,0.0114630494435905,"G2M","3",1494,610,"14"
"HIP002.202","SeuratProject",1221,615,"H1","CD14 Monocyte","0","6",-0.0420710552172057,-0.0426531450951077,"G1","0",1564,615,"6"
"HIP002.211","SeuratProject",1023,617,"H1","CD14 Monocyte","3","14",-0.0428369330474066,-0.0928876318941333,"G1","3",1468,619,"14"
"HIP002.213","SeuratProject",1050,615,"H1","CD14 Monocyte","0","14",0.00892920168147184,-0.0416665695780695,"S","0",1471,621,"14"
"HIP002.215","SeuratProject",1245,607,"H1","CD14 Monocyte","2","6",0.0739086577239013,-0.0744603898356935,"S","2",1581,608,"6"
"HIP002.218","SeuratProject",1109,612,"H1","CD14 Monocyte","2","6",-0.0536322433479744,-0.00723512092477237,"G1","2",1517,613,"6"
"HIP002.220","SeuratProject",1223,622,"H1","CD14 Monocyte","3","6",-0.0463433548349769,-0.0532316906295495,"G1","3",1562,621,"6"
"HIP002.222","SeuratProject",1119,615,"H1","CD14 Monocyte","2","14",-0.0499047024446142,-0.0510495643203574,"G1","2",1509,616,"14"
"HIP002.225","SeuratProject",1261,613,"H1","CD14 Monocyte","3","10",0.0601330191929748,-0.0504161289766861,"S","3",1584,614,"10"
"HIP002.226","SeuratProject",1182,611,"H1","CD14 Monocyte","3","13",-0.0560903063696421,-0.0400210477695276,"G1","3",1533,611,"13"
"HIP002.230","SeuratProject",1207,604,"H1","CD14 Monocyte","2","6",-0.0373780418700334,-0.0405081119553192,"G1","2",1561,601,"6"
"HIP002.233","SeuratProject",1115,610,"H1","CD14 Monocyte","2","7",-0.0509514445749796,-0.0261554374262416,"G1","2",1509,610,"7"
